"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"sw-WoundAssessmentPanel-model","","","",0,*,"","","","","","Group of observations regarding the properties and severity of a wound.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model",0,*,"",""
"sw-WoundAssessmentPanel-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.metadata",0,1,"",""
"sw-WoundAssessmentPanel-model.code.version","","","",0,1,"","","Y","string {[]} {[]}
","Version of the system - if relevant","The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"",""
"sw-WoundAssessmentPanel-model.code.code","","","",1,1,"","","Y","code {[]} {[]}
","Symbol in syntax defined by the system","A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).","","Need to refer to a particular code in the system.","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""39135-9""/>","","","","",,,,,"",,,,"Coding.code",0,1,"",""
"sw-WoundAssessmentPanel-model.code.display","","","",0,1,"","","Y","string {[]} {[]}
","Representation defined by the system","A representation of the meaning of the code in the system, following the rules of the system.","","Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.","","","","","","","",,,,,"",,,,"Coding.display",0,1,"",""
"sw-WoundAssessmentPanel-model.code.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","If this coding was chosen directly by the user","Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"",""
"sw-WoundAssessmentPanel-model.dataValue[x]","","","",0,0,"","","","Coding {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Quantity-model {[]} {[]}string {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Range-model {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Ratio-model {[]} {[]}time {[]} {[]}dateTime {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}","The value or result of a test, evaluation, or judgment, for example, a systolic blood pressure, or if a condition or body structure is present or absent.","The value or result of a test, evaluation, or judgment, for example, a systolic blood pressure, or if a condition or body structure is present or absent.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.dataValue[x]",0,0,"",""
"sw-WoundAssessmentPanel-model.dataAbsentReason","","","",0,0,"","","","Coding {[]} {[]}
","Reason that a value associated with a test or other finding is missing.","Reason that a value associated with a test or other finding is missing.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/data-absent-reason","",,,,"sw-WoundAssessmentPanel-model.dataAbsentReason",0,0,"",""
"sw-WoundAssessmentPanel-model.method","","","",0,1,"","","","Coding {[]} {[]}
","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.method",0,1,"",""
"sw-WoundAssessmentPanel-model.relevantTime[x]","","","",0,1,"","","","dateTime {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}","The time or time period that the statement addresses.","The time or time period that the statement addresses.
The clinically relevant time is not necessarily when the information is gathered or when a test is carried out, but for example, when a specimen was collected, or the time period referred to by the question. Use a TimePeriod for a measurement or specimen collection continued over a significant period of time (e.g. 24 hour Urine Sodium).","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.relevantTime[x]",0,1,"",""
"sw-WoundAssessmentPanel-model.category","","","",0,1,"","","","Coding {[]} {[]}
","The type, kind, or class of this item.","The type, kind, or class of this item.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/observation-category","",,,,"sw-WoundAssessmentPanel-model.category",0,1,"",""
"sw-WoundAssessmentPanel-model.performer[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","The actor that carried out the observation or action.","The actor that carried out the observation or action.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.performer[x]",0,*,"",""
"sw-WoundAssessmentPanel-model.bodyLocation","","","",0,0,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-BodyLocation-model {[]} {[]}
","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart.","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart.
The BodyLocation includes code and optional qualifiers of anatomical side or direction. The body location can also be determined from one or more body landmarks.
If the code for the body location includes laterality and/or anatomical direction, the corresponding attributes might be unnecessary.
Note that BodyLocation is a data type, a reusable structure, not a stand-alone entity. The concept is similar to how an address structure can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.bodyLocation",0,0,"",""
"sw-WoundAssessmentPanel-model.commentOrDescription","","","",0,1,"","","","string {[]} {[]}
","A text note containing additional details, explanation, description, comment, or summarization.","A text note containing additional details, explanation, description, comment, or summarization.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0947611
",,,,"sw-WoundAssessmentPanel-model.commentOrDescription",0,1,"",""
"sw-WoundAssessmentPanel-model.interpretation","","","",0,1,"","","","Coding {[]} {[]}
","A clinical interpretation of a finding (applies to both assertions and observation).","A clinical interpretation of a finding (applies to both assertions and observation).","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/sw/sw/vs/WoundAssessmentInterpretationVS","http://ncimeta.nci.nih.gov#C0420833
",,,,"sw-WoundAssessmentPanel-model.interpretation",0,1,"",""
"sw-WoundAssessmentPanel-model.device","","","",0,0,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model {[]} {[]}
","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.
Device status cannot be reconciled between Argonaut and US-Core, each having different required value sets.
Device type has extensible mappings to different value sets in Argonaut and US-Core, however both value sets have identical SNOMED content (descendants of 49062001 (Device). We adopt the US-Core value set, which is allowable because the binding is extensible.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.device",0,0,"",""
"sw-WoundAssessmentPanel-model.referenceRange","","","",0,0,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferenceRange-model {[]} {[]}
","The usual or acceptable range for a test result.","The usual or acceptable range for a test result.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0883335
",,,,"sw-WoundAssessmentPanel-model.referenceRange",0,0,"",""
"sw-WoundAssessmentPanel-model.components","","","",0,1,"","","","BackboneElement {[]} {[]}
","Sub-observations that are part of this observation. A sub-observation contributs to the parent observation and are always treated a part of a single observation (they are not separable). However, the reference range for the primary observation value is not inherited by the component values and is required when appropriate for each component observation.","Sub-observations that are part of this observation. A sub-observation contributs to the parent observation and are always treated a part of a single observation (they are not separable). However, the reference range for the primary observation value is not inherited by the component values and is required when appropriate for each component observation.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.components",0,1,"",""
"sw-WoundAssessmentPanel-model.components.observationComponent","","","",0,1,"","","","","A sub-observation contributing to the parent observation, expressed as separate code value pairs that share the same attributes. Examples include systolic and diastolic component observations for blood pressure measurement and multiple component observations for genetics observations. Component observations share the same attributes in the Observation resource as the primary observation and are always treated a part of a single observation (they are not separable). However, the reference range for the primary observation value is not inherited by the component values and is required when appropriate for each component observation.","A sub-observation contributing to the parent observation, expressed as separate code value pairs that share the same attributes. Examples include systolic and diastolic component observations for blood pressure measurement and multiple component observations for genetics observations. Component observations share the same attributes in the Observation resource as the primary observation and are always treated a part of a single observation (they are not separable). However, the reference range for the primary observation value is not inherited by the component values and is required when appropriate for each component observation.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.components.observationComponent",0,1,"",""
"sw-WoundAssessmentPanel-model.components.observationComponent.woundEpisode","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/sw-WoundEpisode-model]]}
","Wound episode refers to a period of the wound, an incident in the course of a wound","Wound episode refers to a period of the wound, an incident in the course of a wound","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.components.observationComponent.woundEpisode",0,1,"",""
"sw-WoundAssessmentPanel-model.components.observationComponent.woundTrend","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/sw-WoundTrend-model]]}
","Whether a condition is improving, worsening, stable, or resolved.","Whether a condition is improving, worsening, stable, or resolved.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.components.observationComponent.woundTrend",0,1,"",""
"sw-WoundAssessmentPanel-model.components.observationComponent.woundPeriwoundCondition","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/sw-WoundPeriwoundCondition-model]]}
","A description of the skin around the wound (periwound). Color, induration, warmth and edema should be assessed. Redness of the surrounding skin can be indicative of unrelieved pressure. Irritation of the surrounding skin can result from exposure to feces or urine, a reaction to the dressing or tape, or inappropriate removal of dressing or tape. Redness, tenderness, warmth and swelling are classical clinical signs of infection. [Reference: Brown, P., 2009]","A description of the skin around the wound (periwound). Color, induration, warmth and edema should be assessed. Redness of the surrounding skin can be indicative of unrelieved pressure. Irritation of the surrounding skin can result from exposure to feces or urine, a reaction to the dressing or tape, or inappropriate removal of dressing or tape. Redness, tenderness, warmth and swelling are classical clinical signs of infection. [Reference: Brown, P., 2009]","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.components.observationComponent.woundPeriwoundCondition",0,1,"",""
"sw-WoundAssessmentPanel-model.components.observationComponent.woundVisibleInternalStructure","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/sw-WoundVisibleInternalStructure-model]]}
","Exposed body structures, devices, and/or foreign bodies visible by the naked eye in a wound.","Exposed body structures, devices, and/or foreign bodies visible by the naked eye in a wound.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.components.observationComponent.woundVisibleInternalStructure",0,*,"",""
"sw-WoundAssessmentPanel-model.components.observationComponent.woundGradation","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/sw-WoundGradation-model]]}
","The grade of the wound.","The grade of the wound.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.components.observationComponent.woundGradation",0,1,"",""
"sw-WoundAssessmentPanel-model.components.observationComponent.woundTunneling","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/sw-WoundTunneling-model]]}
","The presence or absence of wound tunneling.","The presence or absence of wound tunneling.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.components.observationComponent.woundTunneling",0,1,"",""
"sw-WoundAssessmentPanel-model.components.observationComponent.woundUndermining","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/sw-WoundUndermining-model]]}
","The presence or absence of wound undermining.","The presence or absence of wound undermining.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.components.observationComponent.woundUndermining",0,1,"",""
"sw-WoundAssessmentPanel-model.components.observationComponent.woundExudate","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/sw-WoundExudate-model]]}
","The presence or absence of wound exudate.","The presence or absence of wound exudate.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.components.observationComponent.woundExudate",0,1,"",""
"sw-WoundAssessmentPanel-model.panelMembers","","","",0,1,"","","","BackboneElement {[]} {[]}
","PanelMembers represent the elements of a group of a related but independent evaluations.","PanelMembers represent the elements of a group of a related but independent evaluations.

Examples are the measurements that compose a complete blood count (CBC), or the elements of a pathology report. Each member is an independent evaluation, but the grouping reflects a composite lab order, shared specimen, or a single report author. Typically the Category and ReasonCode are not given for individual findings that are part of the panel, but rather given at the level of the panel itself.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.panelMembers",0,1,"",""
"sw-WoundAssessmentPanel-model.panelMembers.observation","","","",0,1,"","","","","Represents the result of evaluations (measurements, tests, or questions) that have been performed.","Represents the result of evaluations (measurements, tests, or questions) that have been performed.
Observation has a value representing the result (answer), or an DataAbsentReason indicating why the value is not present. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.
For an Observation, the Code describes the aspect or property of the subject being observed or measured. The Code is the 'question code' that pairs to the 'answer' contained in the Value.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.panelMembers.observation",0,1,"",""
"sw-WoundAssessmentPanel-model.panelMembers.observation.woundBedAssessment","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/sw-WoundBedAssessment-model]]}
","The appearance and color of the base (bed) of the wound, together with the percentage of the bed with each type of appearance and color. The appearance and appearance percentage arrays must be the same length, and the order in the arrays is significant*; the elements at the same array position shall be interpreted as pairs. The same rule applies to the color and color percentage arrays. The number of color areas and appearance areas do not have to be the same.","The appearance and color of the base (bed) of the wound, together with the percentage of the bed with each type of appearance and color. The appearance and appearance percentage arrays must be the same length, and the order in the arrays is significant*; the elements at the same array position shall be interpreted as pairs. The same rule applies to the color and color percentage arrays. The number of color areas and appearance areas do not have to be the same.

*See https://www.hl7.org/fhir/xml.html: When an element is allowed to repeat, the elements are ordered, and the technical infrastructure needs to be able to access the items in the right order. https://www.hl7.org/fhir/json.html The order of properties of an object is not significant in the JSON representation, though order within an array SHALL be maintained.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.panelMembers.observation.woundBedAssessment",0,1,"",""
"sw-WoundAssessmentPanel-model.panelMembers.observation.woundEdgeAssessment","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/sw-WoundEdgeAssessment-model]]}
","The state of the tissue at the edge of the wound.","The state of the tissue at the edge of the wound.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.panelMembers.observation.woundEdgeAssessment",0,1,"",""
"sw-WoundAssessmentPanel-model.panelMembers.observation.woundTunnelingAssessment","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/sw-WoundTunnelingAssessment-model]]}
","Observation of one or more tunnels on a single wound. The length and clockface direction arrays must be the same length, and the order in the arrays is significant*; the elements at the same array position shall be interpreted as pairs.","Observation of one or more tunnels on a single wound. The length and clockface direction arrays must be the same length, and the order in the arrays is significant*; the elements at the same array position shall be interpreted as pairs.

*See https://www.hl7.org/fhir/xml.html: When an element is allowed to repeat, the elements are ordered, and the technical infrastructure needs to be able to access the items in the right order. https://www.hl7.org/fhir/json.html The order of properties of an object is not significant in the JSON representation, though order within an array SHALL be maintained.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.panelMembers.observation.woundTunnelingAssessment",0,*,"",""
"sw-WoundAssessmentPanel-model.panelMembers.observation.woundUnderminingAssessment","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/sw-WoundUnderminingAssessment-model]]}
","Assessment of deep tissue (subcutaneous fat and muscle) damage around the wound margin. If there is more than one undermining The undermining length and clock direction arrays must be the same length, and the order in the arrays is significant*; the elements at the same array position shall be interpreted as pairs.","Assessment of deep tissue (subcutaneous fat and muscle) damage around the wound margin. If there is more than one undermining The undermining length and clock direction arrays must be the same length, and the order in the arrays is significant*; the elements at the same array position shall be interpreted as pairs.

*See https://www.hl7.org/fhir/xml.html: When an element is allowed to repeat, the elements are ordered, and the technical infrastructure needs to be able to access the items in the right order. https://www.hl7.org/fhir/json.html The order of properties of an object is not significant in the JSON representation, though order within an array SHALL be maintained.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.panelMembers.observation.woundUnderminingAssessment",0,*,"",""
"sw-WoundAssessmentPanel-model.panelMembers.observation.woundExudateAssessment","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/sw-WoundExudateAssessment-model]]}
","Description of the fluid produced by a wound.","Description of the fluid produced by a wound.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.panelMembers.observation.woundExudateAssessment",0,1,"",""
"sw-WoundAssessmentPanel-model.panelMembers.observation.woundSize","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/sw-WoundSize-model]]}
","The estimated or measured dimensions of a wound.","The estimated or measured dimensions of a wound.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.panelMembers.observation.woundSize",0,1,"",""
"sw-WoundAssessmentPanel-model.woundIdentifier","","","",1,1,"","","","string {[]} {[]}
","A human-readable identifier for the lesion; e.g., a letter or integer.","A human-readable identifier for the lesion; e.g., a letter or integer.","","","","","","","","","",,,,,"",,,,"sw-WoundAssessmentPanel-model.woundIdentifier",1,1,"",""
"sw-WoundAssessmentPanel-model.photographicImage","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-PhotographicImage-model {[]} {[]}
","An attachment of a photographic type. The mime type should be either bmp, gif, jpeg, png, svg, or tiff.","An attachment of a photographic type. The mime type should be either bmp, gif, jpeg, png, svg, or tiff.","","","","","","","","","",,,,,"http://loinc.org#72170-4 (Photographic image	[Attachment])
",,,,"sw-WoundAssessmentPanel-model.photographicImage",0,*,"",""
