"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"sw-PodiatryWoundCondition-model","","","",0,*,"","","","","","Statement of presence of wound on or near the foot.
"sw-PodiatryWoundCondition-model.category.system","","","",1,1,"","","Y","uri {[]} {[]}
","Identity of the terminology system","The identification of the code system that defines the meaning of the symbol in the code.","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should de-reference to some definition that establish the system clearly and unambiguously.","Need to be unambiguous about the source of the definition of the symbol.","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://hl7.org/fhir/observation-category""/>","","","","",,,,,"",,,,"Coding.system",0,1,"",""
"sw-PodiatryWoundCondition-model.category.version","","","",0,1,"","","Y","string {[]} {[]}
","Version of the system - if relevant","The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"",""
"sw-PodiatryWoundCondition-model.category.code","","","",1,1,"","","Y","code {[]} {[]}
","Symbol in syntax defined by the system","A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).","","Need to refer to a particular code in the system.","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""exam""/>","","","","",,,,,"",,,,"Coding.code",0,1,"",""
"sw-PodiatryWoundCondition-model.category.display","","","",0,1,"","","Y","string {[]} {[]}
","Representation defined by the system","A representation of the meaning of the code in the system, following the rules of the system.","","Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.","","","","","","","",,,,,"",,,,"Coding.display",0,1,"",""
"sw-PodiatryWoundCondition-model.category.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","If this coding was chosen directly by the user","Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"",""
"sw-PodiatryWoundCondition-model.podiatryBodyLocation","","","",1,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/sw-PodiatryBodyLocation-model {[]} {[]}
","Locations of the foot.","Locations of the foot.","","","","","","","","","",,,,,"",,,,"sw-PodiatryWoundCondition-model.podiatryBodyLocation",1,1,"",""
"sw-PodiatryWoundCondition-model.clinicalStatus","","","",1,1,"","","","Coding {[]} {[]}
","A flag indicating whether the condition is active or inactive, recurring, in remission, or resolved (as of the last update of the Condition).","A flag indicating whether the condition is active or inactive, recurring, in remission, or resolved (as of the last update of the Condition).","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/condition-clinical","",,,,"sw-PodiatryWoundCondition-model.clinicalStatus",1,1,"",""
"sw-PodiatryWoundCondition-model.severity","","","",0,0,"","","","Coding {[]} {[]}
","Degree of harshness or extent of a symptom, disorder, or condition.","Degree of harshness or extent of a symptom, disorder, or condition.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/condition-severity","http://ncimeta.nci.nih.gov#C0392364
",,,,"sw-PodiatryWoundCondition-model.severity",0,0,"",""
"sw-PodiatryWoundCondition-model.stageInformation","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-StageInformation-model {[]} {[]}
","The relative advancement in the course of a disease. The StageCode is the summary stage or stage group. StageDetail optionally contains the full staging information.","The relative advancement in the course of a disease. The StageCode is the summary stage or stage group. StageDetail optionally contains the full staging information.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0699749
",,,,"sw-PodiatryWoundCondition-model.stageInformation",0,1,"",""
"sw-PodiatryWoundCondition-model.onset","","","",0,1,"","","","dateTime {[]} {[]}
","The beginning or first appearance of a mental or physical disorder.","The beginning or first appearance of a mental or physical disorder.","","","","","","","","","",,,,,"http://loinc.org#85585-8
",,,,"sw-PodiatryWoundCondition-model.onset",0,1,"",""
"sw-PodiatryWoundCondition-model.abatement","","","",0,1,"","","","dateTime {[]} {[]}
","The end, remission or resolution.","The end, remission or resolution.","","","","","","","","","",,,,,"http://loinc.org#88878-4
",,,,"sw-PodiatryWoundCondition-model.abatement",0,1,"",""
"sw-PodiatryWoundCondition-model.evidence","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Evidence-model {[]} {[]}
","Supporting evidence / manifestations that are the basis of the Condition's verification status, such as evidence that confirmed or refuted the condition.","Supporting evidence / manifestations that are the basis of the Condition's verification status, such as evidence that confirmed or refuted the condition.","","","","","","","","","",,,,,"",,,,"sw-PodiatryWoundCondition-model.evidence",0,1,"",""
"sw-PodiatryWoundCondition-model.dateOfDiagnosis","","","",0,1,"","","","date {[]} {[]}
","The date the disease was first clinically recognized with sufficient certainty, regardless of whether it was fully characterized at that time.","The date the disease was first clinically recognized with sufficient certainty, regardless of whether it was fully characterized at that time.","","","","","","","","","",,,,,"",,,,"sw-PodiatryWoundCondition-model.dateOfDiagnosis",0,1,"",""
"sw-PodiatryWoundCondition-model.woundIdentifier","","","",1,1,"","","","string {[]} {[]}
","A human-readable identifier for the lesion; e.g., a letter or integer.","A human-readable identifier for the lesion; e.g., a letter or integer.","","","","","","","","","",,,,,"",,,,"sw-PodiatryWoundCondition-model.woundIdentifier",1,1,"",""
"sw-PodiatryWoundCondition-model.conditionCause","","","",0,1,"","","","Coding {[]} {[]}
","The cause of the condition. This includes such causes as disease vectors and endogenous states (e.g., macular degeneration due to diabetes), substances, medications, micro-organisms, and forces associated with the occurrence of a Condition from temporal or causative perspectives","The cause of the condition. This includes such causes as disease vectors and endogenous states (e.g., macular degeneration due to diabetes), substances, medications, micro-organisms, and forces associated with the occurrence of a Condition from temporal or causative perspectives","","","","","","","","","",,"required","","http://hl7.org/fhir/us/sw/sw/vs/WoundTypeEtiologyVS","",,,,"sw-PodiatryWoundCondition-model.conditionCause",0,1,"",""
"sw-PodiatryWoundCondition-model.criticality","","","",0,0,"","","","Coding {[]} {[]}
","The potential clinical harm associated with a condition. When the worst case result is assessed to have a life-threatening or organ system threatening potential, it is considered to be of high criticality.","The potential clinical harm associated with a condition. When the worst case result is assessed to have a life-threatening or organ system threatening potential, it is considered to be of high criticality.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/allergy-intolerance-criticality","http://ncimeta.nci.nih.gov#C3858539 (Criticality)
",,,,"sw-PodiatryWoundCondition-model.criticality",0,0,"",""
"sw-PodiatryWoundCondition-model.device","","","",0,0,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model {[]} {[]}
","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.
Device status cannot be reconciled between Argonaut and US-Core, each having different required value sets.
Device type has extensible mappings to different value sets in Argonaut and US-Core, however both value sets have identical SNOMED content (descendants of 49062001 (Device). We adopt the US-Core value set, which is allowable because the binding is extensible.","","","","","","","","","",,,,,"",,,,"sw-PodiatryWoundCondition-model.device",0,0,"",""
"sw-PodiatryWoundCondition-model.presentOnAdmission","","","",0,1,"","","","Coding {[]} {[]}
","If the problem or condition existed before the current episode of care.","If the problem or condition existed before the current episode of care.","","","","","","","","","",,"required","","http://hl7.org/fhir/us/sw/shr/core/vs/YesNoUnknownVS","http://loinc.org#89251-3 (Condition present on admission)
",,,,"sw-PodiatryWoundCondition-model.presentOnAdmission",0,1,"",""
"sw-PodiatryWoundCondition-model.recurrence","","","",0,1,"","","","Coding {[]} {[]}
","A code that describes the number of recurrences of an event.","A code that describes the number of recurrences of an event.","","","","","","","","","",,"required","","http://hl7.org/fhir/us/sw/sw/vs/RecurrenceVS","",,,,"sw-PodiatryWoundCondition-model.recurrence",0,1,"",""
