"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Encounter-model","","","",0,*,"","","","","","A description of an interaction between a patient and healthcare provider(s) for the purpose of providing healthcare service(s) or assessing the health status of a patient.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model",0,*,"",""
"shr-core-Encounter-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.metadata",0,1,"",""
"shr-core-Encounter-model.referralRequest","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferralRequest-model]]}
","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.referralRequest",0,*,"",""
"shr-core-Encounter-model.encounterClass","","","",0,1,"","","","Coding {[]} {[]}
","Concepts representing classification of patient encounter such as ambulatory (outpatient), inpatient, emergency, home health or others due to local variations.","Concepts representing classification of patient encounter such as ambulatory (outpatient), inpatient, emergency, home health or others due to local variations.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.encounterClass",0,1,"",""
"shr-core-Encounter-model.classHistory","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ClassHistory-model {[]} {[]}
","List of past encounter statuses","List of past encounter statuses","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.classHistory",0,*,"",""
"shr-core-Encounter-model.priorityCode[x]","","","",0,1,"","","","positiveInt {[]} {[]}
Coding {[]} {[]}","An indication of the importance of an action relative to other actions.","An indication of the importance of an action relative to other actions.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0549179
","type:$this}
","",,"open","shr-core-Encounter-model.priorityCode[x]",0,1,"",""
"shr-core-Encounter-model.priorityCodeCoding","codeableConcept","","",1,1,"","","","Coding {[]} {[]}
","PositiveInt or code representing an indication of the importance of an action relative to other actions.","PositiveInt or code representing an indication of the importance of an action relative to other actions.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/v3-ActPriority","",,,,"shr-core-Encounter-model.priorityCodeCoding",1,1,"",""
"shr-core-Encounter-model.episodeOfCare","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EpisodeOfCare-model]]}
","An association between a patient and an organization / healthcare provider(s) during which time encounters may occur. The managing organization assumes a level of responsibility for the patient during this time.","An association between a patient and an organization / healthcare provider(s) during which time encounters may occur. The managing organization assumes a level of responsibility for the patient during this time.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.episodeOfCare",0,*,"",""
"shr-core-Encounter-model.participation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Record of someone or something involvement in an activity or event.","Record of someone or something involvement in an activity or event.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.participation",0,*,"",""
"shr-core-Encounter-model.participation.encounterParticipant[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","A choice of Practitioner and RelatedPerson as participant","A choice of Practitioner and RelatedPerson as participant","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.participation.encounterParticipant[x]",0,1,"",""
"shr-core-Encounter-model.participation.participationType","","","",0,1,"","","","Coding {[]} {[]}
","The role played by the participant engaged in the action, for example, as the attending physician, surgical assistant, etc.","The role played by the participant engaged in the action, for example, as the attending physician, surgical assistant, etc.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/encounter-participant-type","http://ncimeta.nci.nih.gov#C1553854
",,,,"shr-core-Encounter-model.participation.participationType",0,1,"",""
"shr-core-Encounter-model.participation.participationPeriod","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","The point in time or span of time the participant is involved.","The point in time or span of time the participant is involved.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1948053
",,,,"shr-core-Encounter-model.participation.participationPeriod",0,1,"",""
"shr-core-Encounter-model.participation.onBehalfOf[x]","","","",0,1,"","","","uri {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}","The party represented by the actual participant.","The party represented by the actual participant.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.participation.onBehalfOf[x]",0,1,"",""
"shr-core-Encounter-model.appointment","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Appointment-model]]}
","A booking of a healthcare event among patient(s), practitioner(s), related person(s) and/or device(s) for a specific date/time.","A booking of a healthcare event among patient(s), practitioner(s), related person(s) and/or device(s) for a specific date/time.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.appointment",0,1,"",""
"shr-core-Encounter-model.duration","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Duration-model {[]} {[]}
","The length of time that something continues.","The length of time that something continues.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0449238
",,,,"shr-core-Encounter-model.duration",0,1,"",""
"shr-core-Encounter-model.reasonCode","","","",0,*,"","","","Coding {[]} {[]}
","The justification, as a code.","The justification, as a code.
Reason is a string or CodeableConcept in DSTU2 but in later versions only a CodeableConcept, so we are not going to support a string.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/encounter-reason","http://ncimeta.nci.nih.gov#C0566251
",,,,"shr-core-Encounter-model.reasonCode",0,*,"",""
"shr-core-Encounter-model.encounterLocation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EncounterLocation-model {[]} {[]}
","Locations where the patient has been.","Locations where the patient has been.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.encounterLocation",0,*,"",""
"shr-core-Encounter-model.partOf","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Encounter-model]]}
","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.partOf",0,1,"",""
