"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM","Mapping: W5 Mapping"
"Basic","","Z-resource
Extension-resourceCustom-resource","",0,*,"","","Y","","obf-ServiceRequest","A record of a request for service such as diagnostic investigations, treatments, or operations to be performed.","","","","","","","","","",,,,,"",,,,"",0,null,"","","Act, Entity or Role","infrastructure.structure"
"Basic.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element as much as possible.","","","","","","","","",,,,,"",,,,"",0,null,"",""
"Basic.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource  Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"required","A human language.","http://tools.ietf.org/html/bcp47","",,,,"",0,null,"",""
"Basic.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource, and may be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative.","","","","","","","","",,,,,"",,,,"",0,null,"dom-1
","","Act.text?"
"Basic.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again.","","","","","","","","",,,,,"",,,,"",0,null,"","","N/A"
"Basic.extension","","extensions
user content","",5,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","",,"open","",0,null,"","","N/A"
"Basic.extension","status","","",1,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-Status-extension]]} {[]}
","","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","identifier","","",0,*,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-datatype-Identifier-extension]]} {[]}
","","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","subjectofrecord","","",1,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-SubjectOfRecord-extension]]} {[]}
","","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.

Note that the word 'Subject' is used here in the sense of a person or entity subjected to observations or actions, not subject as in a conceptual topic, like heart disease.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","carecontext","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-CareContext-extension]]} {[]}
","","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension.id","","","",0,1,"","","","id {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references).","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Basic.extension.extension","","extensions
user content","",0,0,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Basic.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition should be version specific.  This will ideally be the URI for the Resource Profile defining the extension, with the code for the extension after a #.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://mcodeinitiative.org/us/icare/StructureDefinition/obf-CareContext-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Basic.extension.valueReference","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter]]}
","Encounter: A description of an interaction between a patient and healthcare provider(s) for the purpose of providing healthcare service(s) or assessing the health status of a patient","A description of an interaction between a patient and healthcare provider(s) for the purpose of providing healthcare service(s) or assessing the health status of a patient.","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","","N/A"
"Basic.extension","statementdatetime","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-StatementDateTime-extension]]} {[]}
","","The point in time when the statement was created.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","reasoncode","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-ReasonCode-extension]]} {[]}
","","The explanation or justification for the current item or action, as a code.
Reason is a string or CodeableConcept in DSTU2 but in later versions only a CodeableConcept.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","servicereasonreference","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-ServiceReasonReference-extension]]} {[]}
","","Explanation/Justification for service or service","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","servicebasedon","","",0,*,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-ServiceBasedOn-extension]]} {[]}
","","The original or initiating plan, proposal, or request.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","code","","",1,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-datatype-Code-extension]]} {[]}
","","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","category","","",0,*,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-datatype-Category-extension]]} {[]}
","","The general type or class of this item.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","requester","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-Requester-extension]]} {[]}
","","The person or organization originating this referral","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","requestintent","","",1,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-RequestIntent-extension]]} {[]}
","","Indicates the level of authority/intentionality associated with the request and where the request fits into the workflow chain.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension.id","","","",0,1,"","","","id {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references).","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Basic.extension.extension","","extensions
user content","",0,0,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Basic.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition should be version specific.  This will ideally be the URI for the Resource Profile defining the extension, with the code for the extension after a #.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://mcodeinitiative.org/us/icare/StructureDefinition/obf-RequestIntent-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Basic.extension.valueCodeableConcept","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/request-intent","",,,,"Extension.value[x]",0,1,"","","N/A"
"Basic.extension","expectedperformancetime","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-ExpectedPerformanceTime-extension]]} {[]}
","","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","expectedperformertype","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-ExpectedPerformerType-extension]]} {[]}
","","What type of party should carry out the testing.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","expectedperformer","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-ExpectedPerformer-extension]]} {[]}
","","Who this request is being addressed to.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","prioritycode","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-datatype-PriorityCode-extension]]} {[]}
","","An indication of the importance of an action relative to other actions.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","annotation","","",0,*,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-Annotation-extension]]} {[]}
","","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","replacesrequest","","",0,*,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-ReplacesRequest-extension]]} {[]}
","","Request(s) replaced by this request","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension.id","","","",0,1,"","","","id {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references).","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Basic.extension.extension","","extensions
user content","",0,0,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Basic.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition should be version specific.  This will ideally be the URI for the Resource Profile defining the extension, with the code for the extension after a #.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://mcodeinitiative.org/us/icare/StructureDefinition/obf-ReplacesRequest-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Basic.extension.valueReference","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-ServiceRequest]]}
","ServiceRequest: A record of a request for service such as diagnostic investigations, treatments, or operations to be performed","A record of a request for service such as diagnostic investigations, treatments, or operations to be performed.","","","","","","","","","",,,,,"",,,,"Extension.value[x]",1,1,"",""
"Basic.extension","groupidentifier","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-GroupIdentifier-extension]]} {[]}
","","A shared identifier common to all service requests that were authorized more or less simultaneously by a single author, representing the composite or group identifier.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","donotperform","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-DoNotPerform-extension]]} {[]}
","","A flag, when set to true, indicates that the service/procedure should NOT be performed.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","servicedetails","","",0,*,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-ServiceDetails-extension]]} {[]}
","","A service requested or performed. Additional details and instructions about the service requested or performed. For example, and order for a urinary catheter may have an order detail for an external or indwelling catheter, or an order for a bandage may require additional instructions specifying how the bandage should be applied.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","requestquantity","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-RequestQuantity-extension]]} {[]}
","","An amount of service being requested which can be a quantity ( for example $1,500 home modification), a ratio ( for example, 20 half day visits per month), or a range (2.0 to 1.8 Gy per fraction).","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","requestsubjectofrecord","","",1,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-RequestSubjectOfRecord-extension]]} {[]}
","","The subject of the requested service. This is usually limited to a human patient, but can also be requested on groups, devices, or locations (typically for environmental scans).","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","asneeded","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-AsNeeded-extension]]} {[]}
","","Preconditions for service, either 'true' indicating to be performed if needed, or a code indicating the pre-condition for performing the service. For example 'pain', 'on flare-up', etc.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","locationtype","","",0,*,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-LocationType-extension]]} {[]}
","","The preferred type of location(s) where the service should happen, in coded or free text form, e.g. at home or nursing day care center.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","location","","",0,*,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-Location-extension]]} {[]}
","","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","insurance","","",0,*,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-Insurance-extension]]} {[]}
","","Insurance plans, coverage extensions, pre-authorizations and/or pre-determinations that may be needed for delivering the requested service.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","supportinginformation","","",0,*,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-SupportingInformation-extension]]} {[]}
","","Additional information to support this request.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","specimen","","",0,*,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-Specimen-extension]]} {[]}
","","A specimen is a substance, physical object, or collection of objects, that the laboratory considers a single discrete, uniquely identified unit that is the subject of one or more steps in the laboratory workflow. A specimen may include multiple physical pieces as long as they are considered a single unit within the laboratory workflow. A specimen results from one to many specimen collection procedures, and may be contained in multiple specimen containers. Specimen may have one or more processing activities.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","bodylocation","","",0,*,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-datatype-BodyLocation-extension]]} {[]}
","","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.
* Code only: The code should include (precoordinate) laterality and/orientation to the degree necessary to completely specify the body location.
* Code plus laterality and/or orientation: The basic code augmented by codes specifying the body side and/or anatomical orientation.
* Relation to landmark: The location relative to a landmark is specified by:
1. Establishing the location and type of landmark using a body site code and optional laterality/orientation, and
2. Specifying the direction and distance from the landmark to the body location.
Note that BodyLocation is a data type, a reusable structure, not a stand-alone entity. The concept is similar to how a postal address can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.extension","patientinstruction","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/icare/StructureDefinition/obf-PatientInstruction-extension]]} {[]}
","","Patient or consumer-oriented instructions.","","","","","","","","","",,,,,"",,,,"Basic.extension",0,*,"",""
"Basic.modifierExtension","","extensions
user content","",0,*,"","Y","","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"",0,null,"","","N/A"
"Basic.identifier","","","",0,*,"","","Y","Identifier {[]} {[]}
","Business identifier","Identifier assigned to the resource for business purposes, outside the context of FHIR.","","","","","","","","","",,,,,"",,,,"",0,null,"","","./identifier","id"
"Basic.code","","","",1,1,"","Y","Y","CodeableConcept {[]} {[]}
","Kind of Resource","Identifies the 'type' of resource - equivalent to the resource name for other resources.","Because resource references will only be able to indicate 'Basic', the type of reference will need to be specified in a Profile identified as part of the resource.  Refer to the resource notes section for information on appropriate terminologies for this code.","Must be able to distinguish different types of ""basic"" resources.","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://mcodeinitiative.org/us/icare/CodeSystem/icare-basic-resource-type""/>
    <code value=""obf-ServiceRequest""/>
    <userSelected value=""false""/>
  </coding>
</valueCodeableConcept>","","","",,"example","Codes for identifying types of resources not yet defined by FHIR","http://hl7.org/fhir/ValueSet/basic-resource-type","",,,,"",0,null,"","","./code","what"
"Basic.subject","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","Identifies the focus of this resource","Identifies the patient, practitioner, device or any other resource that is the ""focus"" of this resource.","Optional as not all resources potential resources will have subjects.  Resources associated with multiple subjects can handle this via extension.","Needed for partitioning the resource by Patient.","","","","","","","",,,,,"",,,,"",0,null,"","","./participation[typeCode='SBJ'] (possibly through a ControlAct and Role)","who.focus"
"Basic.author","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson]]}
","Who created","Indicates who was responsible for creating the resource instance.","","Needed for partitioning the resource.","","","","","","","",,,,,"",,,,"",0,null,"","","./participation[typeCode='SUB'] (possibly through a ControlAct and Role)","who.author"
"Basic.created","","","",0,1,"","","Y","date {[]} {[]}
","When created","Identifies when the resource was first created.","","Allows ordering resource instances by time.","","","","","","","",,,,,"",,,,"",0,null,"","","./participation[typeCode='AUT']/time (possibly through a ControlAct and Role)","when.recorded"
