"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"DomainResource","","","",0,*,"","","","","obf-ActionRequest","Abstract class representing a request for any type of action to be performed.","","","","","","","","","",,,,,"",,,,"DomainResource",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-6:A resource should have narrative for robust management {text.div.exists()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}","Entity. Role, or Act"
"DomainResource.extension","carecontext","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/obf-CareContext-extension]]} {[]}
","","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"",""
"DomainResource.extension","statementdatetime","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/obf-StatementDateTime-extension]]} {[]}
","","The point in time when the statement was created.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"",""
"DomainResource.extension","reasoncode","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/obf-ReasonCode-extension]]} {[]}
","","The explanation or justification for the current item or action, as a code.
Reason is a string or CodeableConcept in DSTU2 but in later versions only a CodeableConcept.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"",""
"DomainResource.extension","reasonreference","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/obf-ReasonReference-extension]]} {[]}
","","The justification, as reference to a condition or observation.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"",""
"DomainResource.extension","basedon","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/obf-BasedOn-extension]]} {[]}
","","The proposal, order, or plan that is partly or wholly fulfilled by this item.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"",""
"DomainResource.extension","code","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Code-extension]]} {[]}
","","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"",""
"DomainResource.extension","category","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Category-extension]]} {[]}
","","The general type or class of this item.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"",""
"DomainResource.extension","requester","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/obf-Requester-extension]]} {[]}
","","The person or organization originating this referral","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"",""
"DomainResource.extension","requestintent","","",1,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/obf-RequestIntent-extension]]} {[]}
","","Indicates the level of authority/intentionality associated with the request and where the request fits into the workflow chain.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"",""
"DomainResource.extension","expectedperformancetime","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/obf-ExpectedPerformanceTime-extension]]} {[]}
","","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"",""
"DomainResource.extension","expectedperformertype","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/obf-ExpectedPerformerType-extension]]} {[]}
","","What type of party should carry out the testing.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"",""
"DomainResource.extension","expectedperformer","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/obf-ExpectedPerformer-extension]]} {[]}
","","Who this request is being addressed to.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"",""
"DomainResource.extension","prioritycode","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-PriorityCode-extension]]} {[]}
","","An indication of the importance of an action relative to other actions.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"",""
"DomainResource.extension","annotation","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/obf-Annotation-extension]]} {[]}
","","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"",""
"DomainResource.modifierExtension","","extensions
user content","",0,*,"","Y","","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](extensibility.html#modifierExtension).","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","DomainResource.modifierExtension",0,*,"","","N/A"
