"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Workflow Pattern","Mapping: HL7 v2 Mapping","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping"
"DiagnosticReport","","Report
TestResultResultsLabsLaboratoryLab ResultLab Report","",0,*,"","","","","obf-lab-CBCWAutoDifferentialPanel","Complete blood count (CBC) with auto differential panel. Includes various measures of red blood cells, platelets, and various types of white blood cells and other related measures, such as hemoglobin. The components of this panel are not entirely standardized, so the definition of the CBC includes tests that are optional, or performed by certain laboratories but not others. Instances typically will include a subset of the listed panel members.","This is intended to capture a single report and is not suitable for use in displaying summary information that covers multiple reports.  For example, this resource has not been designed for laboratory cumulative reporting formats nor detailed structured reports for sequencing.","","","","","","","","",,,,,"",,,,"DiagnosticReport",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-6:A resource should have narrative for robust management {text.div.exists()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}","Event","ORU -> OBR","Entity. Role, or Act","Observation[classCode=OBS, moodCode=EVN]"
"DiagnosticReport.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"DiagnosticReport.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"",""
"DiagnosticReport.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"",""
"DiagnosticReport.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"preferred","A human language.","http://hl7.org/fhir/ValueSet/languages","",,,,"Resource.language",0,1,"",""
"DiagnosticReport.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"","","Act.text?"
"DiagnosticReport.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags In their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"","","N/A"
"DiagnosticReport.specimen","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Specimen]]}
","Specimens this report is based on","Details about the specimens on which this diagnostic report is based.","If the specimen is sufficiently specified with a code in the test result name, then this additional data may be redundant. If there are multiple specimens, these may be represented per observation or group.","Need to be able to report information about the collected specimens on which the report is based.","","","","","","","",,,,,"",,,,"DiagnosticReport.specimen",0,*,"","","SPM","participation[typeCode=SBJ]"
"DiagnosticReport.result","","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,*,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-LaboratoryObservation]]}
","A coded finding based on a specimen, usually collected from a patient (but possibly from a location)","A coded finding based on a specimen, usually collected from a patient (but possibly from a location).","Observations can contain observations.","Need to support individual results, or  groups of results, where the result grouping is arbitrary, but meaningful.","","","","","","","",,,,,"","value:$this.resolve().code.coding.code}
","",,"open","DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-LeukocytesNCncPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-LeukocytesNCncPtBldQnAutoCntLabObs]]}
","LeukocytesNCncPtBldQnAutoCntLabObs: Leukocytes [#/​volume] in Blood by Automated count","Leukocytes [#/​volume] in Blood by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-ErythrocytesNCncPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-ErythrocytesNCncPtBldQnAutoCntLabObs]]}
","ErythrocytesNCncPtBldQnAutoCntLabObs: Erythrocytes [#/​volume] in Blood by Automated count","Erythrocytes [#/​volume] in Blood by Automated count.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-HemoglobinMCncPtBldQnLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-HemoglobinMCncPtBldQnLabObs]]}
","HemoglobinMCncPtBldQnLabObs: Hemoglobin [Mass/​volume] in Blood","Hemoglobin [Mass/​volume] in Blood","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-HematocritVFrPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-HematocritVFrPtBldQnAutoCntLabObs]]}
","HematocritVFrPtBldQnAutoCntLabObs: Hematocrit [Volume Fraction] of Blood by Automated count","Hematocrit [Volume Fraction] of Blood by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-MeanCorpuscularVolumeEntVolPtRBCQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-MeanCorpuscularVolumeEntVolPtRBCQnAutoCntLabObs]]}
","MeanCorpuscularVolumeEntVolPtRBCQnAutoCntLabObs: MCV [Entitic volume] by Automated count","MCV [Entitic volume] by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-ErythrocyteMCHEntMassPtRBCQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-ErythrocyteMCHEntMassPtRBCQnAutoCntLabObs]]}
","ErythrocyteMCHEntMassPtRBCQnAutoCntLabObs: MCH [Entitic mass] by Automated count","MCH [Entitic mass] by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-ErythrocyteMCHCMCncPtRBCQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-ErythrocyteMCHCMCncPtRBCQnAutoCntLabObs]]}
","ErythrocyteMCHCMCncPtRBCQnAutoCntLabObs: MCHC [Mass/​volume] by Automated count","MCHC [Mass/​volume] by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-PlateletsNCncPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-PlateletsNCncPtBldQnAutoCntLabObs]]}
","PlateletsNCncPtBldQnAutoCntLabObs: Platelets [#/​volume] in Blood by Automated count","Platelets [#/​volume] in Blood by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-Neutrophils100WBCNFrPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-Neutrophils100WBCNFrPtBldQnAutoCntLabObs]]}
","Neutrophils100WBCNFrPtBldQnAutoCntLabObs: Neutrophils/​100 leukocytes in Blood by Automated count","Neutrophils/​100 leukocytes in Blood by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-NeutrophilsNCncPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-NeutrophilsNCncPtBldQnAutoCntLabObs]]}
","NeutrophilsNCncPtBldQnAutoCntLabObs: Neutrophils [#/​volume] in Blood by Automated count","Neutrophils [#/​volume] in Blood by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-ErythrocyteDistributionWidthRatioPtRBCQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-ErythrocyteDistributionWidthRatioPtRBCQnAutoCntLabObs]]}
","ErythrocyteDistributionWidthRatioPtRBCQnAutoCntLabObs: Erythrocyte distribution width [Ratio] by Automated count","Erythrocyte distribution width [Ratio] by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-Lymphocytes100WBCNFrPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-Lymphocytes100WBCNFrPtBldQnAutoCntLabObs]]}
","Lymphocytes100WBCNFrPtBldQnAutoCntLabObs: Lymphocytes/​100 leukocytes in Blood by Automated count","Lymphocytes/​100 leukocytes in Blood by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-Monocytes100WBCNFrPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-Monocytes100WBCNFrPtBldQnAutoCntLabObs]]}
","Monocytes100WBCNFrPtBldQnAutoCntLabObs: Monocytes/​100 leukocytes in Blood by Automated count","Monocytes/​100 leukocytes in Blood by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-Eosinophils100WBCNFrPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-Eosinophils100WBCNFrPtBldQnAutoCntLabObs]]}
","Eosinophils100WBCNFrPtBldQnAutoCntLabObs: Eosinophils/​100 leukocytes in Blood by Automated count","Eosinophils/​100 leukocytes in Blood by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-Basophils100WBCNFrPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-Basophils100WBCNFrPtBldQnAutoCntLabObs]]}
","Basophils100WBCNFrPtBldQnAutoCntLabObs: Basophils/​100 leukocytes in Blood by Automated count","Basophils/​100 leukocytes in Blood by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-LymphocytesNCncPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-LymphocytesNCncPtBldQnAutoCntLabObs]]}
","LymphocytesNCncPtBldQnAutoCntLabObs: Lymphocytes [#/​volume] in Blood by Automated count","Lymphocytes [#/​volume] in Blood by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-MonocytesNCncPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-MonocytesNCncPtBldQnAutoCntLabObs]]}
","MonocytesNCncPtBldQnAutoCntLabObs: Monocytes [#/​volume] in Blood by Automated count","Monocytes [#/​volume] in Blood by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-EosinophilsNCncPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-EosinophilsNCncPtBldQnAutoCntLabObs]]}
","EosinophilsNCncPtBldQnAutoCntLabObs: Eosinophils [#/​volume] in Blood by Automated count","Eosinophils [#/​volume] in Blood by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-BasophilsNCncPtBldQnAutoCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-BasophilsNCncPtBldQnAutoCntLabObs]]}
","BasophilsNCncPtBldQnAutoCntLabObs: Basophils [#/​volume] in Blood by Automated count","Basophils [#/​volume] in Blood by Automated count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-NeutrophilsBandForm100WBCNFrPtBldQnManCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-NeutrophilsBandForm100WBCNFrPtBldQnManCntLabObs]]}
","NeutrophilsBandForm100WBCNFrPtBldQnManCntLabObs: Band form neutrophils/100 leukocytes in Blood by Manual count","Band form neutrophils/100 leukocytes in Blood by Manual count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-Metamyelocytes100WBCNFrPtBldQnManCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-Metamyelocytes100WBCNFrPtBldQnManCntLabObs]]}
","Metamyelocytes100WBCNFrPtBldQnManCntLabObs: Metamyelocytes/100 leukocytes in Blood by Manual count","Metamyelocytes/100 leukocytes in Blood by Manual count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-Myelocytes100WBCNFrPtBldQnManCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-Myelocytes100WBCNFrPtBldQnManCntLabObs]]}
","Myelocytes100WBCNFrPtBldQnManCntLabObs: Myelocytes/100 leukocytes in Blood by Manual count","Myelocytes/100 leukocytes in Blood by Manual count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-Promyelocytes100WBCNFrPtBldQnManCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-Promyelocytes100WBCNFrPtBldQnManCntLabObs]]}
","Promyelocytes100WBCNFrPtBldQnManCntLabObs: Promyelocytes/100 leukocytes in Blood by Manual count","Promyelocytes/100 leukocytes in Blood by Manual count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-PromyelocytesNCncPtBldQnLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-PromyelocytesNCncPtBldQnLabObs]]}
","PromyelocytesNCncPtBldQnLabObs: Promyelocytes [#/volume] in Blood","Promyelocytes [#/volume] in Blood","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-LymphocytesVariant100WBCNFrPtBldQnLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-LymphocytesVariant100WBCNFrPtBldQnLabObs]]}
","LymphocytesVariant100WBCNFrPtBldQnLabObs: Variant lymphocytes/100 leukocytes in Blood","Variant lymphocytes/100 leukocytes in Blood","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-Blasts100WBCNFrPtBldQnManCntLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-Blasts100WBCNFrPtBldQnManCntLabObs]]}
","Blasts100WBCNFrPtBldQnManCntLabObs: Blasts/100 leukocytes in Blood by Manual count","Blasts/100 leukocytes in Blood by Manual count","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-BlastsNCncPtBldQnLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-BlastsNCncPtBldQnLabObs]]}
","BlastsNCncPtBldQnLabObs: Blasts [#/volume] in Blood. Units not required by LOINC but are strongly recommended.","Blasts [#/volume] in Blood. Units not required by LOINC but are strongly recommended.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-ErythrocytesNucleated100WBCRatioPtBldQnLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-ErythrocytesNucleated100WBCRatioPtBldQnLabObs]]}
","ErythrocytesNucleated100WBCRatioPtBldQnLabObs: Nucleated erythrocytes/100 leukocytes [Ratio] in Blood.  Units are required.","Nucleated erythrocytes/100 leukocytes [Ratio] in Blood.  Units are required.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
"DiagnosticReport.result","obf-lab-ErythrocytesNucleatedNCncPtBldQnLabObs","Data
Atomic ValueResultAtomic resultDataTestAnalyteBatteryOrganizer","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/mcode/StructureDefinition/obf-lab-ErythrocytesNucleatedNCncPtBldQnLabObs]]}
","ErythrocytesNucleatedNCncPtBldQnLabObs: Nucleated erythrocytes [#/volume] in Blood. Units not required by LOINC but are strongly recommended.","Nucleated erythrocytes [#/volume] in Blood. Units not required by LOINC but are strongly recommended.","","","","","","","","","",,,,,"",,,,"DiagnosticReport.result",0,*,"","us-core-7:DiagnosticReport.result or  DiagnosticReport.presentedForm or both SHALL be present. {result.exists() or presentedForm.exists()}
","OBXs","outboundRelationship[typeCode=COMP].target"
