"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-ProcedureRequest-model","","","",0,*,"","","","","","A request for a procedure to be performed. May be a proposal or an order.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model",0,*,"",""
"shr-core-ProcedureRequest-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.metadata",0,1,"",""
"shr-core-ProcedureRequest-model.procedureRequestReasonReferenceShr-core-Condition-model","Condition","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model]]}
","A condition that is or may be present in a subject. 'Condition' is interpreted broadly and could be a disorder, abnormality, problem, injury, complaint, functionality, illness, disease, ailment, sickness, affliction, upset, difficulty, disorder, symptom, worry, or trouble.","A condition that is or may be present in a subject. 'Condition' is interpreted broadly and could be a disorder, abnormality, problem, injury, complaint, functionality, illness, disease, ailment, sickness, affliction, upset, difficulty, disorder, symptom, worry, or trouble.
The Observation-based class, ConditionAbsent, should be used to describe conditions that are not present or negative findings.
SHR Condition uses the SHR BodyLocation structure that includes not only a code, but optional laterality, direction, clock direction, and distance. If included, the distance is measured from the location specified by the code, laterality, and direction.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.procedureRequestReasonReference[x]",0,1,"",""
"shr-core-ProcedureRequest-model.procedureRequestReasonReferenceShr-core-Observation-model","Observation","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","Represents the result of evaluations (measurements, tests, or questions) that have been performed.","Represents the result of evaluations (measurements, tests, or questions) that have been performed.
Observation has a value representing the result (answer), or an DataAbsentReason indicating why the value is not present. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.
For an Observation, the Code describes the aspect or property of the subject being observed or measured. The Code is the 'question code' that pairs to the 'answer' contained in the Value.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.procedureRequestReasonReference[x]",0,1,"",""
"shr-core-ProcedureRequest-model.serviceBasedOn[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ServiceRequest-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferralRequest-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ProcedureRequest-model]]}
","The original or initiating plan, proposal, or request.","The original or initiating plan, proposal, or request.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-ProcedureRequest-model.serviceBasedOn[x]",0,*,"",""
"shr-core-ProcedureRequest-model.serviceBasedOnShr-core-ServiceRequest-model","ServiceRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ServiceRequest-model]]}
","A record of a request for service such as diagnostic investigations, treatments, or operations to be performed.","A record of a request for service such as diagnostic investigations, treatments, or operations to be performed.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.serviceBasedOn[x]",0,*,"",""
"shr-core-ProcedureRequest-model.serviceBasedOnShr-core-ReferralRequest-model","ReferralRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferralRequest-model]]}
","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.serviceBasedOn[x]",0,*,"",""
"shr-core-ProcedureRequest-model.serviceBasedOnShr-core-ProcedureRequest-model","ProcedureRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ProcedureRequest-model]]}
","A request for a procedure to be performed. May be a proposal or an order.","A request for a procedure to be performed. May be a proposal or an order.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.serviceBasedOn[x]",0,*,"",""
"shr-core-ProcedureRequest-model.code","","","",1,1,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/core/ValueSet/us-core-procedure-code","",,,,"shr-core-ProcedureRequest-model.code",1,1,"",""
"shr-core-ProcedureRequest-model.category","","","",0,1,"","","","Coding {[]} {[]}
","The general type or class of this item.","The general type or class of this item.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.category",0,1,"",""
"shr-core-ProcedureRequest-model.procedureRequester[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model]]}
","The agent requesting the procedure. Allows Practitioner and Device, since these represent the intersection between DSTU 2 and STU 3. DSTU 2 allows Organization, and STU 3 allows Patient and RelatedPerson.","The agent requesting the procedure. Allows Practitioner and Device, since these represent the intersection between DSTU 2 and STU 3. DSTU 2 allows Organization, and STU 3 allows Patient and RelatedPerson.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.procedureRequester[x]",0,1,"",""
"shr-core-ProcedureRequest-model.requestIntent","","","",1,1,"","","","Coding {[]} {[]}
","Indicates the level of authority/intentionality associated with the request and where the request fits into the workflow chain.","Indicates the level of authority/intentionality associated with the request and where the request fits into the workflow chain.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/request-intent","",,,,"shr-core-ProcedureRequest-model.requestIntent",1,1,"",""
"shr-core-ProcedureRequest-model.expectedPerformanceTime[x]","","","",0,1,"","","","dateTime {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Timing-model {[]} {[]}","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.expectedPerformanceTime[x]",0,1,"",""
"shr-core-ProcedureRequest-model.expectedPerformerType","","","",0,1,"","","","Coding {[]} {[]}
","What type of party should carry out the testing.","What type of party should carry out the testing.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.expectedPerformerType",0,1,"",""
"shr-core-ProcedureRequest-model.expectedPerformer[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model]]}
","Who this request is being addressed to.","Who this request is being addressed to.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.expectedPerformer[x]",0,1,"",""
"shr-core-ProcedureRequest-model.priorityCode[x]","","","",0,1,"","","","positiveInt {[]} {[]}
Coding {[]} {[]}","An indication of the importance of an action relative to other actions.","An indication of the importance of an action relative to other actions.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.priorityCode[x]",0,1,"",""
"shr-core-ProcedureRequest-model.annotation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Annotation-model {[]} {[]}
","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.annotation",0,*,"",""
"shr-core-ProcedureRequest-model.replaces","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ServiceRequest-model]]}
","Request(s) replaced by this request","Request(s) replaced by this request","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.replaces",0,*,"",""
"shr-core-ProcedureRequest-model.groupIdentifier","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","A shared identifier common to all service requests that were authorized more or less simultaneously by a single author, representing the composite or group identifier.","A shared identifier common to all service requests that were authorized more or less simultaneously by a single author, representing the composite or group identifier.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.groupIdentifier",0,1,"",""
"shr-core-ProcedureRequest-model.doNotPerform","","","",0,1,"","","","boolean {[]} {[]}
","A flag, when set to true, indicates that the service/procedure should NOT be performed.","A flag, when set to true, indicates that the service/procedure should NOT be performed.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.doNotPerform",0,1,"",""
"shr-core-ProcedureRequest-model.serviceDetails","","","",0,*,"","","","Coding {[]} {[]}
","A service requested or performed. Additional details and instructions about the service requested or performed. For example, and order for a urinary catheter may have an order detail for an external or indwelling catheter, or an order for a bandage may require additional instructions specifying how the bandage should be applied.","A service requested or performed. Additional details and instructions about the service requested or performed. For example, and order for a urinary catheter may have an order detail for an external or indwelling catheter, or an order for a bandage may require additional instructions specifying how the bandage should be applied.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/service-type","",,,,"shr-core-ProcedureRequest-model.serviceDetails",0,*,"",""
"shr-core-ProcedureRequest-model.requestQuantity[x]","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Quantity-model {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Ratio-model {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Range-model {[]} {[]}","An amount of service being requested which can be a quantity ( for example $1,500 home modification), a ratio ( for example, 20 half day visits per month), or a range (2.0 to 1.8 Gy per fraction).","An amount of service being requested which can be a quantity ( for example $1,500 home modification), a ratio ( for example, 20 half day visits per month), or a range (2.0 to 1.8 Gy per fraction).","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.requestQuantity[x]",0,1,"",""
"shr-core-ProcedureRequest-model.procedureRequestSubjectOfRecord[x]","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Group-model]]}
","A choice of Patient or Group. These are the potential subjects for Procedure and ReferralRequest resources.","A choice of Patient or Group. These are the potential subjects for Procedure and ReferralRequest resources.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.procedureRequestSubjectOfRecord[x]",1,1,"",""
"shr-core-ProcedureRequest-model.asNeeded[x]","","","",0,1,"","","","boolean {[]} {[]}
Coding {[]} {[]}","Preconditions for service, either 'true' indicating to be performed if needed, or a code indicating the pre-condition for performing the service. For example 'pain', 'on flare-up', etc.","Preconditions for service, either 'true' indicating to be performed if needed, or a code indicating the pre-condition for performing the service. For example 'pain', 'on flare-up', etc.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.asNeeded[x]",0,1,"",""
"shr-core-ProcedureRequest-model.location","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Location-model]]}
","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.location",0,*,"",""
"shr-core-ProcedureRequest-model.locationType","","","",0,*,"","","","Coding {[]} {[]}
","The preferred type of location(s) where the service should happen, in coded or free text form, e.g. at home or nursing day care center.","The preferred type of location(s) where the service should happen, in coded or free text form, e.g. at home or nursing day care center.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.locationType",0,*,"",""
"shr-core-ProcedureRequest-model.insurance","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Coverage-model]]}
","Insurance plans, coverage extensions, pre-authorizations and/or pre-determinations that may be needed for delivering the requested service.","Insurance plans, coverage extensions, pre-authorizations and/or pre-determinations that may be needed for delivering the requested service.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0021682 (HealthInsurance)
",,,,"shr-core-ProcedureRequest-model.insurance",0,*,"",""
"shr-core-ProcedureRequest-model.supportingInformation","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DomainResource-model]]}
","Additional information to support this request.","Additional information to support this request.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.supportingInformation",0,*,"",""
"shr-core-ProcedureRequest-model.specimen","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Specimen-model]]}
","A specimen is a substance, physical object, or collection of objects, that the laboratory considers a single discrete, uniquely identified unit that is the subject of one or more steps in the laboratory workflow. A specimen may include multiple physical pieces as long as they are considered a single unit within the laboratory workflow. A specimen results from one to many specimen collection procedures, and may be contained in multiple specimen containers. Specimen may have one or more processing activities.","A specimen is a substance, physical object, or collection of objects, that the laboratory considers a single discrete, uniquely identified unit that is the subject of one or more steps in the laboratory workflow. A specimen may include multiple physical pieces as long as they are considered a single unit within the laboratory workflow. A specimen results from one to many specimen collection procedures, and may be contained in multiple specimen containers. Specimen may have one or more processing activities.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.specimen",0,*,"",""
"shr-core-ProcedureRequest-model.bodyLocation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-BodyLocation-model {[]} {[]}
","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.
+ Code only: The code should include (precoordinate) laterality and/orientation to the degree necessary to completely specify the body location.
+ Code plus laterality and/or orientation: The basic code augmented by codes specifying the body side and/or anatomical orientation.
+ Relation to landmark: The location relative to a landmark is specified by:
- Establishing the location and type of landmark using a body site code and optional laterality/orientation, and
- Specifying the direction and distance from the landmark to the body location.
Note that BodyLocation is a data type, a reusable structure, not a stand-alone entity. The concept is similar to how a postal address can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.bodyLocation",0,*,"",""
"shr-core-ProcedureRequest-model.patientInstruction","","","",0,1,"","","","string {[]} {[]}
","Patient or consumer-oriented instructions.","Patient or consumer-oriented instructions.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.patientInstruction",0,1,"",""
"shr-core-ProcedureRequest-model.partOf","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model]]}
","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.partOf",0,1,"",""
"shr-core-ProcedureRequest-model.method","","","",0,1,"","","","Coding {[]} {[]}
","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.method",0,1,"",""
