"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Encounter-model","","","",0,*,"","","","","","A description of an interaction between a patient and healthcare provider(s) for the purpose of providing healthcare service(s) or assessing the health status of a patient.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model",0,*,"",""
"shr-core-Encounter-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.metadata",0,1,"",""
"shr-core-Encounter-model.organization","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}
","A formally or informally recognized grouping of people or organizations formed for the purpose of achieving some form of collective action. Includes companies, institutions, corporations, departments, community groups, healthcare practice groups, payer/insurer, etc.","A formally or informally recognized grouping of people or organizations formed for the purpose of achieving some form of collective action. Includes companies, institutions, corporations, departments, community groups, healthcare practice groups, payer/insurer, etc.

Organization type is restricted to 0..1 in FHIR DSTU2, similarly restricted here. Other required attributes come from STU 3 mapping to us-core-organization.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.organization",0,1,"",""
"shr-core-Encounter-model.basedOnReferral","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferralRequest-model]]}
","The request that initiated this encounter.","The request that initiated this encounter.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.basedOnReferral",0,*,"",""
"shr-core-Encounter-model.encounterClass","","","",1,1,"","","","Coding {[]} {[]}
","Concepts representing classification of patient encounter such as ambulatory (outpatient), inpatient, emergency, home health or others due to local variations.","Concepts representing classification of patient encounter such as ambulatory (outpatient), inpatient, emergency, home health or others due to local variations.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.encounterClass",1,1,"",""
"shr-core-Encounter-model.classHistory","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ClassHistory-model {[]} {[]}
","List of past encounter statuses","List of past encounter statuses","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.classHistory",0,*,"",""
"shr-core-Encounter-model.priorityCode[x]","","","",0,1,"","","","positiveInt {[]} {[]}
Coding {[]} {[]}","An indication of the importance of an action relative to other actions.","An indication of the importance of an action relative to other actions.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-Encounter-model.priorityCode[x]",0,1,"",""
"shr-core-Encounter-model.priorityCodeCoding","codeableConcept","","",1,1,"","","","Coding {[]} {[]}
","PositiveInt or code representing an indication of the importance of an action relative to other actions.","PositiveInt or code representing an indication of the importance of an action relative to other actions.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/v3-ActPriority","",,,,"shr-core-Encounter-model.priorityCodeCoding",1,1,"",""
"shr-core-Encounter-model.episodeOfCare","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EpisodeOfCare-model]]}
","An association between a patient and an organization / healthcare provider(s) during which time encounters may occur. The managing organization assumes a level of responsibility for the patient during this time.","An association between a patient and an organization / healthcare provider(s) during which time encounters may occur. The managing organization assumes a level of responsibility for the patient during this time.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.episodeOfCare",0,*,"",""
"shr-core-Encounter-model.participation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Record of someone or something involvement in an activity or event.","Record of someone or something involvement in an activity or event.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.participation",0,*,"",""
"shr-core-Encounter-model.participation.encounterParticipant[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","A choice of Practitioner and RelatedPerson as participant","A choice of Practitioner and RelatedPerson as participant","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.participation.encounterParticipant[x]",0,1,"",""
"shr-core-Encounter-model.participation.participationType","","","",0,1,"","","","Coding {[]} {[]}
","The role played by the participant engaged in the action, for example, as the attending physician, surgical assistant, etc.","The role played by the participant engaged in the action, for example, as the attending physician, surgical assistant, etc.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/encounter-participant-type","",,,,"shr-core-Encounter-model.participation.participationType",0,1,"",""
"shr-core-Encounter-model.participation.participationPeriod","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","The point in time or span of time the participant is involved.","The point in time or span of time the participant is involved.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.participation.participationPeriod",0,1,"",""
"shr-core-Encounter-model.participation.onBehalfOf[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}
","The party represented by the actual participant.","The party represented by the actual participant.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.participation.onBehalfOf[x]",0,1,"",""
"shr-core-Encounter-model.appointment","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Appointment-model]]}
","A booking of a healthcare event among patient(s), practitioner(s), related person(s) and/or device(s) for a specific date/time.","A booking of a healthcare event among patient(s), practitioner(s), related person(s) and/or device(s) for a specific date/time.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.appointment",0,1,"",""
"shr-core-Encounter-model.duration","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Duration-model {[]} {[]}
","The length of time that something continues.","The length of time that something continues.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0449238
",,,,"shr-core-Encounter-model.duration",0,1,"",""
"shr-core-Encounter-model.reasonCode","","","",0,*,"","","","Coding {[]} {[]}
","The explanation or justification for the current item or action, as a code.","The explanation or justification for the current item or action, as a code.
Reason is a string or CodeableConcept in DSTU2 but in later versions only a CodeableConcept.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/encounter-reason","http://ncimeta.nci.nih.gov#C0566251
",,,,"shr-core-Encounter-model.reasonCode",0,*,"",""
"shr-core-Encounter-model.encounterReasonReference[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","Reason the encounter is taking place.","Reason the encounter is taking place.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-Encounter-model.encounterReasonReference[x]",0,*,"",""
"shr-core-Encounter-model.encounterReasonReferenceShr-core-Condition-model","Condition","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model]]}
","A condition that is or may be present in a subject. 'Condition' is interpreted broadly and could be a disorder, abnormality, problem, injury, complaint, functionality, illness, disease, ailment, sickness, affliction, upset, difficulty, disorder, symptom, worry, or trouble.","A condition that is or may be present in a subject. 'Condition' is interpreted broadly and could be a disorder, abnormality, problem, injury, complaint, functionality, illness, disease, ailment, sickness, affliction, upset, difficulty, disorder, symptom, worry, or trouble.
The Observation-based class, ConditionAbsent, should be used to describe conditions that are not present or negative findings.
SHR Condition uses the SHR BodyLocation structure that includes not only a code, but optional laterality, direction, clock direction, and distance. If included, the distance is measured from the location specified by the code, laterality, and direction.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.encounterReasonReference[x]",0,*,"",""
"shr-core-Encounter-model.encounterReasonReferenceShr-core-Procedure-model","Procedure","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model]]}
","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.encounterReasonReference[x]",0,*,"",""
"shr-core-Encounter-model.encounterReasonReferenceShr-core-Observation-model","Observation","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","Represents the result of evaluations (measurements, tests, or questions) that have been performed.","Represents the result of evaluations (measurements, tests, or questions) that have been performed.
Observation has a value representing the result (answer), or an DataAbsentReason indicating why the value is not present. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.
For an Observation, the Code describes the aspect or property of the subject being observed or measured. The Code is the 'question code' that pairs to the 'answer' contained in the Value.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.encounterReasonReference[x]",0,*,"",""
"shr-core-Encounter-model.encounterLocation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EncounterLocation-model {[]} {[]}
","Locations where the patient has been.","Locations where the patient has been.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.encounterLocation",0,*,"",""
"shr-core-Encounter-model.partOf","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Encounter-model]]}
","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.partOf",0,1,"",""
