"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-MedicationStatement-model","","","",0,*,"","","","","","A record of the use of a medication. The use may be reported by the patient or clinician and adminstration does not have to be directly observed.

FHIR Notes:
"shr-core-MedicationStatement-model.subjectOfRecord","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model]]}
","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.

Note that the word 'Subject' is used here in the sense of a person or entity subjected to observations or actions, not subject as in a conceptual topic, like heart disease.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1299487
",,,,"shr-core-MedicationStatement-model.subjectOfRecord",1,1,"",""
"shr-core-MedicationStatement-model.careContext[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Encounter-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EpisodeOfCare-model]]}
","The encounter or episode of care","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.careContext[x]",0,1,"",""
"shr-core-MedicationStatement-model.statementDateTime","","","",1,1,"","","","dateTime {[]} {[]}
","The point in time when the statement was created.","The point in time when the statement was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"shr-core-MedicationStatement-model.statementDateTime",1,1,"",""
"shr-core-MedicationStatement-model.reasonCode","","","",0,1,"","","","Coding {[]} {[]}
","The explanation or justification for the current item or action, as a code.","The explanation or justification for the current item or action, as a code.
Reason is a string or CodeableConcept in DSTU2 but in later versions only a CodeableConcept.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0566251
",,,,"shr-core-MedicationStatement-model.reasonCode",0,1,"",""
"shr-core-MedicationStatement-model.medicationReasonReference[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DiagnosticReport-model]]}
","Condition or observation that supports why the medication is being/was taken","Condition or observation that supports why the medication is being/was taken","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-MedicationStatement-model.medicationReasonReference[x]",0,1,"",""
"shr-core-MedicationStatement-model.medicationReasonReferenceShr-core-Condition-model","Condition","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model]]}
","A condition that is or may be present in a subject. 'Condition' is interpreted broadly and could be a disorder, abnormality, problem, injury, complaint, functionality, illness, disease, ailment, sickness, affliction, upset, difficulty, disorder, symptom, worry, or trouble.","A condition that is or may be present in a subject. 'Condition' is interpreted broadly and could be a disorder, abnormality, problem, injury, complaint, functionality, illness, disease, ailment, sickness, affliction, upset, difficulty, disorder, symptom, worry, or trouble.
The Observation-based class, ConditionAbsent, should be used to describe conditions that are not present or negative findings.
SHR Condition uses the SHR BodyLocation structure that includes not only a code, but optional laterality, direction, clock direction, and distance. If included, the distance is measured from the location specified by the code, laterality, and direction.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.medicationReasonReference[x]",0,1,"",""
"shr-core-MedicationStatement-model.medicationReasonReferenceShr-core-Observation-model","Observation","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","Represents the result of evaluations (measurements, tests, or questions) that have been performed.","Represents the result of evaluations (measurements, tests, or questions) that have been performed.
Observation has a value representing the result (answer), or an DataAbsentReason indicating why the value is not present. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.
For an Observation, the Code describes the aspect or property of the subject being observed or measured. The Code is the 'question code' that pairs to the 'answer' contained in the Value.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.medicationReasonReference[x]",0,1,"",""
"shr-core-MedicationStatement-model.medicationReasonReferenceShr-core-DiagnosticReport-model","DiagnosticReport","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DiagnosticReport-model]]}
","DiagnosticReport","DiagnosticReport","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.medicationReasonReference[x]",0,1,"",""
"shr-core-MedicationStatement-model.medicationBasedOn[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ServiceRequest-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationRequest-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferralRequest-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ProcedureRequest-model]]}
","MedicationBasedOn","MedicationBasedOn","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-MedicationStatement-model.medicationBasedOn[x]",0,*,"",""
"shr-core-MedicationStatement-model.medicationBasedOnShr-core-ServiceRequest-model","ServiceRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ServiceRequest-model]]}
","A record of a request for service such as diagnostic investigations, treatments, or operations to be performed.","A record of a request for service such as diagnostic investigations, treatments, or operations to be performed.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.medicationBasedOn[x]",0,*,"",""
"shr-core-MedicationStatement-model.medicationBasedOnShr-core-MedicationRequest-model","MedicationRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationRequest-model]]}
","An order for a medication to be dispensed and instructions for use.","An order for a medication to be dispensed and instructions for use.
Value sets for status are in direct conflict between DSTU2 Argonaut and STU3 US-Core.
Category does not exist in DSTU2 and is provided as an extension.
Intent was added in STU3 and is provided as an extension with required binding.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.medicationBasedOn[x]",0,*,"",""
"shr-core-MedicationStatement-model.medicationBasedOnShr-core-ReferralRequest-model","ReferralRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferralRequest-model]]}
","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.medicationBasedOn[x]",0,*,"",""
"shr-core-MedicationStatement-model.medicationBasedOnShr-core-ProcedureRequest-model","ProcedureRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ProcedureRequest-model]]}
","A request for a procedure to be performed. May be a proposal or an order.","A request for a procedure to be performed. May be a proposal or an order.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.medicationBasedOn[x]",0,*,"",""
"shr-core-MedicationStatement-model.occurrenceTimeOrPeriod[x]","","","",1,1,"","","","date {[]} {[]}
dateTime {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}","The point or period of time when the event takes place. Times can be precise (dateTime) or approximate (date). If a time period is used, and the start date or dateTime is missing, the start of the period is not known. If the end date or dateTime is missing, it means that the period is ongoing.","The point or period of time when the event takes place. Times can be precise (dateTime) or approximate (date). If a time period is used, and the start date or dateTime is missing, the start of the period is not known. If the end date or dateTime is missing, it means that the period is ongoing.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.occurrenceTimeOrPeriod[x]",1,1,"",""
"shr-core-MedicationStatement-model.participation","","","",0,0,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Participation-model {[]} {[]}
","Record of someone or something involvement in an activity or event.","Record of someone or something involvement in an activity or event.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.participation",0,0,"",""
"shr-core-MedicationStatement-model.method","","","",0,0,"","","","Coding {[]} {[]}
","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.method",0,0,"",""
"shr-core-MedicationStatement-model.medicationCodeOrReference[x]","","","",1,1,"","","","Coding {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Medication-model]]}","A choice of a medication code or reference.","A choice of a medication code or reference.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-MedicationStatement-model.medicationCodeOrReference[x]",1,1,"",""
"shr-core-MedicationStatement-model.medicationCodeOrReferenceCoding","CodeableConcept","","",1,1,"","","","Coding {[]} {[]}
","A set of codes drawn from different coding systems, representing the same concept.","A set of codes drawn from different coding systems, representing the same concept.","","","","","","","","","",,"extensible","","http://h7.org/fhir/us/core/ValueSet/us-core-medication-codes","",,,,"shr-core-MedicationStatement-model.medicationCodeOrReference[x]",1,1,"",""
"shr-core-MedicationStatement-model.dosage","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Dosage-model {[]} {[]}
","The dosage of the medication. The data structure is flexible and can describe a dosage prescribed, administered, or reported.","The dosage of the medication. The data structure is flexible and can describe a dosage prescribed, administered, or reported.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.dosage",0,1,"",""
"shr-core-MedicationStatement-model.medicationStatementPartOf[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationAdministration-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationDispense-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationStatement-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","A larger event of which this particular event is a component or step.","A larger event of which this particular event is a component or step.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-MedicationStatement-model.medicationStatementPartOf[x]",0,*,"",""
"shr-core-MedicationStatement-model.medicationStatementPartOfShr-core-MedicationAdministration-model","MedicationAdministration","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationAdministration-model]]}
","A record of the use of a medication. If the medication is given as part of a course of treatment, the PartOf attribute should refer to the CourseOfTreatment.","A record of the use of a medication. If the medication is given as part of a course of treatment, the PartOf attribute should refer to the CourseOfTreatment.
Although FHIR MedicationAdministration supports date of administration, information source, performer, it lacks common provenance elements, statement creation date, author, and recorder. These are supported as optional extensions.
FHIR DSTU2 lacks a category attribute, which is provided as an extension in that version.
SHR does not allow the 'not given' attributes from DSTU2 and STU3, since they are dropped in R4. The status element is used to document medications not given.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.medicationStatementPartOf[x]",0,*,"",""
"shr-core-MedicationStatement-model.medicationStatementPartOfShr-core-MedicationDispense-model","MedicationDispense","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationDispense-model]]}
","Indicates that a medication product has been dispensed for a named person/patient. This includes a description of the medication product (supply) provided and the instructions for administering the medication. The medication dispense is the result of a pharmacy system responding to a medication order.","Indicates that a medication product has been dispensed for a named person/patient. This includes a description of the medication product (supply) provided and the instructions for administering the medication. The medication dispense is the result of a pharmacy system responding to a medication order.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.medicationStatementPartOf[x]",0,*,"",""
"shr-core-MedicationStatement-model.medicationStatementPartOfShr-core-MedicationStatement-model","MedicationStatement","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationStatement-model]]}
","A record of the use of a medication. The use may be reported by the patient or clinician and adminstration does not have to be directly observed.","A record of the use of a medication. The use may be reported by the patient or clinician and adminstration does not have to be directly observed.

FHIR Notes:

Although FHIR supports the asserter (information source) and date asserted, it does not have a place for the author (who created and is responsible for the statement) and recorder (who entered the statement). Extensions are provided.

The treatment of 'not taken' has changed from DSTU2 and STU3 to R4. In R4, status and statusReason are used to indicate medications not taken. For upward compatibility, the 'not taken' attributes are profiled out.
ReasonCode is a choice of CodeableConcept or ref(Condition) in DSTU2, and limited to one reason (pick a type). In STU3 and R4, there can be multiple reason codes, and multiple reason references, simultaneously.

Preference is given to using the National Library of Medicine (NLM) RxNorm terminology for medications. RxNorm is a coding standard established by the Office of the National Coordinator (ONC). However, RxNorm is restricted to FDA-approved drugs and does not include clinical trial drugs. MedicationStatement allows for the inclusion of other coding systems like the NCI Thesaurus (NCIT) to represent clinical trial oncology drugs.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.medicationStatementPartOf[x]",0,*,"",""
"shr-core-MedicationStatement-model.medicationStatementPartOfShr-core-Procedure-model","Procedure","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model]]}
","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.medicationStatementPartOf[x]",0,*,"",""
"shr-core-MedicationStatement-model.medicationStatementPartOfShr-core-Observation-model","Observation","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","Represents the result of evaluations (measurements, tests, or questions) that have been performed.","Represents the result of evaluations (measurements, tests, or questions) that have been performed.
Observation has a value representing the result (answer), or an DataAbsentReason indicating why the value is not present. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.
For an Observation, the Code describes the aspect or property of the subject being observed or measured. The Code is the 'question code' that pairs to the 'answer' contained in the Value.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.medicationStatementPartOf[x]",0,*,"",""
"shr-core-MedicationStatement-model.category","","","",0,1,"","","","Coding {[]} {[]}
","The general type or class of this item.","The general type or class of this item.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/medication-statement-category","",,,,"shr-core-MedicationStatement-model.category",0,1,"",""
"shr-core-MedicationStatement-model.medicationInformationSource[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}
","The informant for this medication statement.","The informant for this medication statement.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.medicationInformationSource[x]",0,1,"",""
"shr-core-MedicationStatement-model.derivedFrom","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DomainResource-model]]}
","Indicates the source of information in the case the Entry has been created by logical extension or modification of one or more source entries.","Indicates the source of information in the case the Entry has been created by logical extension or modification of one or more source entries.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.derivedFrom",0,*,"",""
"shr-core-MedicationStatement-model.annotation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Annotation-model {[]} {[]}
","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationStatement-model.annotation",0,*,"",""
"shr-core-MedicationStatement-model.treatmentIntent","","","",0,1,"","","","Coding {[]} {[]}
","The purpose of a treatment.","The purpose of a treatment.","","","","","","","","","",,"required","","http://hl7.org/fhir/us/shrcore/shr/core/vs/TreatmentIntentVS","http://snomed.info/sct#395077000 (Treatment intent (situation))
",,,,"shr-core-MedicationStatement-model.treatmentIntent",0,1,"",""
"shr-core-MedicationStatement-model.terminationReason","","","",0,*,"","","","Coding {[]} {[]}
","A code explaining unplanned or premature termination of a plan of treatment, course of medication, or research study.","A code explaining unplanned or premature termination of a plan of treatment, course of medication, or research study.","","","","","","","","","",,"required","","http://hl7.org/fhir/us/shrcore/shr/core/vs/TreatmentTerminationReasonVS","",,,,"shr-core-MedicationStatement-model.terminationReason",0,*,"",""
