"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Questionnaire-model","","","",0,*,"","","","","","A structured set of questions intended to guide the collection of answers from end-users. Questionnaires provide detailed control over order, presentation, phraseology and grouping to allow coherent, consistent data collection.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model",0,*,"",""
"shr-core-Questionnaire-model.subjectType","","","",0,*,"","","","Coding {[]} {[]}
","Resource that can be subject of QuestionnaireResponse","Resource that can be subject of QuestionnaireResponse","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/resource-types","",,,,"shr-core-Questionnaire-model.subjectType",0,*,"",""
"shr-core-Questionnaire-model.lastUpdated","","","",0,1,"","","","dateTime {[]} {[]}
","The most recent date the information item was changed.","The most recent date the information item was changed.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.lastUpdated",0,1,"",""
"shr-core-Questionnaire-model.publisherName","","","",0,1,"","","","string {[]} {[]}
","The name of the organization or individual that published this item.","The name of the organization or individual that published this item.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.publisherName",0,1,"",""
"shr-core-Questionnaire-model.contactDetail","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ContactDetail-model {[]} {[]}
","Describes an individual and how to reach them.","Describes an individual and how to reach them.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.contactDetail",0,*,"",""
"shr-core-Questionnaire-model.descriptionMarkdown","","","",0,1,"","","","markdown {[]} {[]}
","A description of the purpose of the item.","A description of the purpose of the item.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.descriptionMarkdown",0,1,"",""
"shr-core-Questionnaire-model.useContext","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-UseContext-model {[]} {[]}
","The content was developed with a focus and intent of supporting the contexts that are listed. These contexts may be general categories (gender, age, ...) or may be references to specific programs (insurance plans, studies, ...) and may be used to assist with indexing and searching for appropriate questionnaire instances.","The content was developed with a focus and intent of supporting the contexts that are listed. These contexts may be general categories (gender, age, ...) or may be references to specific programs (insurance plans, studies, ...) and may be used to assist with indexing and searching for appropriate questionnaire instances.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.useContext",0,*,"",""
"shr-core-Questionnaire-model.jurisdiction","","","",0,*,"","","","Coding {[]} {[]}
","The country, state or other region taking legal responsibility.","The country, state or other region taking legal responsibility.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/jurisdiction","",,,,"shr-core-Questionnaire-model.jurisdiction",0,*,"",""
"shr-core-Questionnaire-model.purposeMarkdown","","","",0,1,"","","","markdown {[]} {[]}
","A description of the purpose of the item.","A description of the purpose of the item.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.purposeMarkdown",0,1,"",""
"shr-core-Questionnaire-model.copyright","","","",0,1,"","","","markdown {[]} {[]}
","A rights statement relating legal restrictions on the use and publishing of the item.","A rights statement relating legal restrictions on the use and publishing of the item.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.copyright",0,1,"",""
"shr-core-Questionnaire-model.approvalDate","","","",0,1,"","","","date {[]} {[]}
","The date on which the item was officiallly deemed acceptable by the publisher.","The date on which the item was officiallly deemed acceptable by the publisher.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.approvalDate",0,1,"",""
"shr-core-Questionnaire-model.lastReviewedDate","","","",0,1,"","","","date {[]} {[]}
","The most recent date the item was reviewed.","The most recent date the item was reviewed.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.lastReviewedDate",0,1,"",""
"shr-core-Questionnaire-model.effectiveTimePeriod","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EffectiveTimePeriod-model {[]} {[]}
","The date and time span for which something is active, valid, or in force.","The date and time span for which something is active, valid, or in force.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C2985763
",,,,"shr-core-Questionnaire-model.effectiveTimePeriod",0,1,"",""
"shr-core-Questionnaire-model.code","","","",0,*,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/questionnaire-questions","",,,,"shr-core-Questionnaire-model.code",0,*,"",""
"shr-core-Questionnaire-model.questionnaireItem","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-QuestionnaireItem-model {[]} {[]}
","Questions and sections within the Questionnaire.","Questions and sections within the Questionnaire.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.questionnaireItem",0,*,"",""
