"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-AdverseDrugReaction-model","","","",0,*,"","","","","","A noxious and unintended response to a medicinal product. To be considered an ADR, a causal relationship must be at least suspected by the medical practitioner. The principal difference between an adverse drug reaction (ADR) an adverse event (AE) and is that a causal relationship is suspected for the ADR, but is not required for the AE. Adverse drug reactions are therefore a subset of adverse event reports.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseDrugReaction-model",0,*,"",""
"shr-core-AdverseDrugReaction-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseDrugReaction-model.metadata",0,1,"",""
"shr-core-AdverseDrugReaction-model.category","","","",0,1,"","","","Coding {[]} {[]}
","The general type or class of this item.","The general type or class of this item.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/adverse-event-category","",,,,"shr-core-AdverseDrugReaction-model.category",0,1,"",""
"shr-core-AdverseDrugReaction-model.occurrenceTime","","","",0,1,"","","","dateTime {[]} {[]}
","The point in time in which something happens.","The point in time in which something happens.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseDrugReaction-model.occurrenceTime",0,1,"",""
"shr-core-AdverseDrugReaction-model.detectionTime","","","",0,1,"","","","dateTime {[]} {[]}
","The date on which the existence of the AdverseEvent first become known or was first observed.","The date on which the existence of the AdverseEvent first become known or was first observed.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseDrugReaction-model.detectionTime",0,1,"",""
"shr-core-AdverseDrugReaction-model.resultingCondition","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model]]}
","The condition, sign or symptom triggering the adverse event report.","The condition, sign or symptom triggering the adverse event report.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseDrugReaction-model.resultingCondition",0,*,"",""
"shr-core-AdverseDrugReaction-model.location","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Location-model]]}
","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseDrugReaction-model.location",0,1,"",""
"shr-core-AdverseDrugReaction-model.seriousness","","","",1,1,"","","","Coding {[]} {[]}
","A coded value specifying the level of injury suffered by the subject for whom the event is reported, perferrably using the CTCAE coding system.","A coded value specifying the level of injury suffered by the subject for whom the event is reported, perferrably using the CTCAE coding system.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/adverse-event-seriousness","",,,,"shr-core-AdverseDrugReaction-model.seriousness",1,1,"",""
"shr-core-AdverseDrugReaction-model.severity","","","",0,1,"","","","Coding {[]} {[]}
","Degree of harshness or extent of a symptom, disorder, or condition.","Degree of harshness or extent of a symptom, disorder, or condition.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/adverse-event-severity","",,,,"shr-core-AdverseDrugReaction-model.severity",0,1,"",""
"shr-core-AdverseDrugReaction-model.outcome","","","",0,1,"","","","Coding {[]} {[]}
","The result of an event or performance of an action or behavior, for example, an adverse reaction or procedure.","The result of an event or performance of an action or behavior, for example, an adverse reaction or procedure.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/adverse-event-outcome","",,,,"shr-core-AdverseDrugReaction-model.outcome",0,1,"",""
"shr-core-AdverseDrugReaction-model.humanAuthor[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","A human author, patient, practitioner, or related person, as opposed to an organization or device.","A human author, patient, practitioner, or related person, as opposed to an organization or device.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseDrugReaction-model.humanAuthor[x]",0,1,"",""
"shr-core-AdverseDrugReaction-model.participant[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Group-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Location-model]]}
","An entity (usually a Practitioner, Patient, or Organization but potentially a device or other entity) that participates in a healthcare task or activity.","An entity (usually a Practitioner, Patient, or Organization but potentially a device or other entity) that participates in a healthcare task or activity.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1550369
",,,,"shr-core-AdverseDrugReaction-model.participant[x]",0,1,"",""
"shr-core-AdverseDrugReaction-model.potentialCause","","","",1,*,"","","","BackboneElement {[]} {[]}
","A possible cause of an observed adverse event, known or theorized. There can be more than one possible cause.","A possible cause of an observed adverse event, known or theorized. There can be more than one possible cause.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseDrugReaction-model.potentialCause",1,*,"",""
"shr-core-AdverseDrugReaction-model.potentialCause.medicationType[x]","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Medication-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationAdministration-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationStatement-model]]}
","Drug suspected as possible cause of the adverse event.","Drug suspected as possible cause of the adverse event.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseDrugReaction-model.potentialCause.medicationType[x]",1,1,"",""
"shr-core-AdverseDrugReaction-model.potentialCause.certainty","","","",1,1,"","","","Coding {[]} {[]}
","The degree of confidence in a conclusion or assertion.","The degree of confidence in a conclusion or assertion.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/adverse-event-causality-assess","",,,,"shr-core-AdverseDrugReaction-model.potentialCause.certainty",1,1,"",""
"shr-core-AdverseDrugReaction-model.potentialCause.causeCategory","","","",1,1,"","","","Coding {[]} {[]}
","Whether the adverse event is attributed to a treatment, course of the disease, unrelated to either, or unknown.","Whether the adverse event is attributed to a treatment, course of the disease, unrelated to either, or unknown.","","","","","","","","","",,"required","","http://hl7.org/fhir/us/shrcore/shr/core/vs/AttributionCategoryVS","",,,,"shr-core-AdverseDrugReaction-model.potentialCause.causeCategory",1,1,"",""
"shr-core-AdverseDrugReaction-model.associatedStudy","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ResearchStudy-model]]}
","The related clinical trial or other formal study.","The related clinical trial or other formal study.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseDrugReaction-model.associatedStudy",0,1,"",""
"shr-core-AdverseDrugReaction-model.actionTaken","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ActionTaken-model {[]} {[]}
","The action taken as a result of the adverse reaction. May include changing or discontinuing medication, reducing dose, etc.","The action taken as a result of the adverse reaction. May include changing or discontinuing medication, reducing dose, etc.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseDrugReaction-model.actionTaken",0,*,"",""
