"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-RespiratoryRate-model","","","",0,*,"","","","","","The rate of breathing (inhalation and exhalation) measured within in a unit time, expressed as breaths per minute.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model",0,*,"",""
"shr-core-RespiratoryRate-model.category","","","",1,1,"","","","Coding {[]} {[]}
","The general type or class of this item.","The general type or class of this item.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.category",1,1,"",""
"shr-core-RespiratoryRate-model.category.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"shr-core-RespiratoryRate-model.category.extension","","","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"",""
"shr-core-RespiratoryRate-model.category.system","","","",1,1,"","","Y","uri {[]} {[]}
","Identity of the terminology system","The identification of the code system that defines the meaning of the symbol in the code.","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should de-reference to some definition that establish the system clearly and unambiguously.","Need to be unambiguous about the source of the definition of the symbol.","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://hl7.org/fhir/observation-category""/>","","","","",,,,,"",,,,"Coding.system",0,1,"",""
"shr-core-RespiratoryRate-model.category.version","","","",0,1,"","","Y","string {[]} {[]}
","Version of the system - if relevant","The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"",""
"shr-core-RespiratoryRate-model.category.code","","","",1,1,"","","Y","code {[]} {[]}
","Symbol in syntax defined by the system","A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).","","Need to refer to a particular code in the system.","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""vital-signs""/>","","","","",,,,,"",,,,"Coding.code",0,1,"",""
"shr-core-RespiratoryRate-model.category.display","","","",0,1,"","","Y","string {[]} {[]}
","Representation defined by the system","A representation of the meaning of the code in the system, following the rules of the system.","","Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.","","","","","","","",,,,,"",,,,"Coding.display",0,1,"",""
"shr-core-RespiratoryRate-model.category.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","If this coding was chosen directly by the user","Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"",""
"shr-core-RespiratoryRate-model.focalSubject[x]","","","",0,*,"","","","Coding {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DomainResource-model]]}","The person or entity that the information in this resource relates to, if different than the person of record. The subject of information can be a reference or a code, the latter when the subject is described generically, for example, in terms of a relationship to the subject of record (e.g., wife).","The person or entity that the information in this resource relates to, if different than the person of record. The subject of information can be a reference or a code, the latter when the subject is described generically, for example, in terms of a relationship to the subject of record (e.g., wife).","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.focalSubject[x]",0,*,"",""
"shr-core-RespiratoryRate-model.relevantTime[x]","","","",0,1,"","","","dateTime {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}","The time or time period that the statement addresses.","The time or time period that the statement addresses.
The clinically relevant time is not necessarily when the information is gathered or when a test is carried out, but for example, when a specimen was collected, or the time period referred to by the question. Use a TimePeriod for a measurement or specimen collection continued over a significant period of time (e.g. 24 hour Urine Sodium).","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.relevantTime[x]",0,1,"",""
"shr-core-RespiratoryRate-model.performer[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","The actor that carried out the observation or action.","The actor that carried out the observation or action.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.performer[x]",0,*,"",""
"shr-core-RespiratoryRate-model.dataValue","","","",1,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Quantity-model {[]} {[]}
","The value or result of a test, evaluation, or judgment, for example, a systolic blood pressure, or if a condition or body structure is present or absent.","The value or result of a test, evaluation, or judgment, for example, a systolic blood pressure, or if a condition or body structure is present or absent.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.dataValue",1,1,"",""
"shr-core-RespiratoryRate-model.dataValue.number","","","",0,1,"","","","decimal {[]} {[]}
","A decimal value.","A decimal value.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.dataValue.number",0,1,"",""
"shr-core-RespiratoryRate-model.dataValue.comparator","","","",0,1,"","","","Coding {[]} {[]}
","A code indicated if the value represents an upper or lower bound","A code indicated if the value represents an upper or lower bound","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/quantity-comparator","",,,,"shr-core-RespiratoryRate-model.dataValue.comparator",0,1,"",""
"shr-core-RespiratoryRate-model.dataValue.units","","","",1,1,"","","","Coding {[]} {[]}
","The unit of measure of the quantity.","The unit of measure of the quantity.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0805701
",,,,"shr-core-RespiratoryRate-model.dataValue.units",1,1,"",""
"shr-core-RespiratoryRate-model.dataAbsentReason","","","",0,1,"","","","Coding {[]} {[]}
","Reason that a value associated with a test or other finding is missing.","Reason that a value associated with a test or other finding is missing.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/data-absent-reason","",,,,"shr-core-RespiratoryRate-model.dataAbsentReason",0,1,"",""
"shr-core-RespiratoryRate-model.interpretation","","","",0,1,"","","","Coding {[]} {[]}
","A clinical interpretation of a finding (applies to both assertions and observation).","A clinical interpretation of a finding (applies to both assertions and observation).","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/shrcore/shr/core/vs/QuantitativeResultInterpretationVS","",,,,"shr-core-RespiratoryRate-model.interpretation",0,1,"",""
"shr-core-RespiratoryRate-model.annotation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Annotation-model {[]} {[]}
","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.annotation",0,*,"",""
"shr-core-RespiratoryRate-model.bodyLocation","","","",0,0,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-BodyLocation-model {[]} {[]}
","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.
+ Code only: The code should include (precoordinate) laterality and/orientation to the degree necessary to completely specify the body location.
+ Code plus laterality and/or orientation: The basic code augmented by codes specifying the body side and/or anatomical orientation.
+ Relation to landmark: The location relative to a landmark is specified by:
- Establishing the location and type of landmark using a body site code and optional laterality/orientation, and
- Specifying the direction and distance from the landmark to the body location.
Note that BodyLocation is a data type, a reusable structure, not a stand-alone entity. The concept is similar to how a postal address can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.bodyLocation",0,0,"",""
"shr-core-RespiratoryRate-model.bodyLocation.code","","","",1,1,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/us/shrcore/shr/core/vs/BodyLocationVS","",,,,"shr-core-RespiratoryRate-model.bodyLocation.code",1,1,"",""
"shr-core-RespiratoryRate-model.bodyLocation.laterality","","","",0,0,"","","","Coding {[]} {[]}
","Body side of the body location, if needed to distinguish from a similar location on the other side of the body.","Body side of the body location, if needed to distinguish from a similar location on the other side of the body.

The laterality element is part of BodyLocation, a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.

+ Code only: The code should include (precoordinate) laterality and/orientation to the degree necessary to completely specify the body location.
+ Code plus laterality and/or orientation: The basic code augmented by codes specifying the body side and/or anatomical orientation.
+ Relation to landmark: The location relative to a landmark is specified by:
- Establishing the location and type of landmark using a body site code and optional laterality/orientation, and
- Specifying the direction and distance from the landmark to the body location.

Note that BodyLocation is a data type (a reusable structure), not a stand-alone entity. The concept is similar to how a postal address can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/shrcore/shr/core/vs/LateralityVS","",,,,"shr-core-RespiratoryRate-model.bodyLocation.laterality",0,0,"",""
"shr-core-RespiratoryRate-model.bodyLocation.orientation","","","",0,0,"","","","Coding {[]} {[]}
","Orientation of the body location, if needed to distinguish from a similar location in another orientation.","Orientation of the body location, if needed to distinguish from a similar location in another orientation.
The orientation element is part of BodyLocation, a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.

+ Code only: The code should include (precoordinate) laterality and/orientation to the degree necessary to completely specify the body location.
+ Code plus laterality and/or orientation: The basic code augmented by codes specifying the body side and/or anatomical orientation.
+ Relation to landmark: The location relative to a landmark is specified by:
- Establishing the location and type of landmark using a body site code and optional laterality/orientation, and
- Specifying the direction and distance from the landmark to the body location.

Note that BodyLocation is a data type (a reusable structure), not a stand-alone entity. The concept is similar to how a postal address can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/shrcore/shr/core/vs/OrientationVS","",,,,"shr-core-RespiratoryRate-model.bodyLocation.orientation",0,0,"",""
"shr-core-RespiratoryRate-model.bodyLocation.relationToLandmark","","","",0,0,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelationToLandmark-model {[]} {[]}
","The relationship between a landmark that helps determine a body location and the body location itself. The location relative to a landmark is specified by:","The relationship between a landmark that helps determine a body location and the body location itself. The location relative to a landmark is specified by:
* Specifying the location and type of landmark using a body site code and optional laterality/orientation,
* Specifying the direction from the landmark to the body location, and
* Specifying the distance from the landmark to the body location.

The RelationToLandmark element is part of BodyLocation, a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.

+ Code only: The code should include (precoordinate) laterality and/orientation to the degree necessary to completely specify the body location.
+ Code plus laterality and/or orientation: The basic code augmented by codes specifying the body side and/or anatomical orientation.
+ Relation to landmark: The location relative to a landmark is specified by:
- Establishing the location and type of landmark using a body site code and optional laterality/orientation, and
- Specifying the direction and distance from the landmark to the body location.

Note that BodyLocation is a data type (a reusable structure), not a stand-alone entity. The concept is similar to how a postal address can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.bodyLocation.relationToLandmark",0,*,"",""
"shr-core-RespiratoryRate-model.method","","","",0,1,"","","","Coding {[]} {[]}
","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/shrcore/shr/core/vs/RespiratoryRateMethodVS","",,,,"shr-core-RespiratoryRate-model.method",0,1,"",""
"shr-core-RespiratoryRate-model.device","","","",0,0,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model]]}
","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.
Device status cannot be reconciled between Argonaut and US-Core, each having different required value sets.
Device type has extensible mappings to different value sets in Argonaut and US-Core, however both value sets have identical SNOMED content (descendants of 49062001 (Device). We adopt the US-Core value set, which is allowable because the binding is extensible.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.device",0,0,"",""
"shr-core-RespiratoryRate-model.referenceRange","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferenceRange-model {[]} {[]}
","The usual or acceptable range for a test result.","The usual or acceptable range for a test result.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0883335
",,,,"shr-core-RespiratoryRate-model.referenceRange",0,1,"",""
"shr-core-RespiratoryRate-model.panelMembers","","","",0,0,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-PanelMembers-model {[]} {[]}
","PanelMembers represent the elements of a group of a related but independent evaluations.","PanelMembers represent the elements of a group of a related but independent evaluations.

Examples are the measurements that compose a complete blood count (CBC), or the elements of a pathology report. Each member is an independent evaluation, but the grouping reflects a composite lab order, shared specimen, or a single report author. Typically the Category and ReasonCode are not given for individual findings that are part of the panel, but rather given at the level of the panel itself.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.panelMembers",0,0,"",""
