"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Media-model","","","",0,*,"","","","","","A photo, video, or audio recording acquired or used in healthcare. The actual content may be inline or provided by direct reference.","","","","","","","","","",,,,,"",,,,"shr-core-Media-model",0,*,"",""
"shr-core-Media-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.metadata",0,1,"",""
"shr-core-Media-model.practitioner","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model]]}
","A person who practices a healing art.","A person who practices a healing art.
HumanName is limited to one required value by US-Core. Gender is required by US-Core. US-Core required an identifier, either a NPI (preferred) or tax id.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C2220264
",,,,"shr-core-Media-model.practitioner",0,1,"",""
"shr-core-Media-model.reasonCode","","","",0,*,"","","","Coding {[]} {[]}
","The explanation or justification for the current item or action, as a code.","The explanation or justification for the current item or action, as a code.
Reason is a string or CodeableConcept in DSTU2 but in later versions only a CodeableConcept.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/procedure-reason","http://ncimeta.nci.nih.gov#C0566251
",,,,"shr-core-Media-model.reasonCode",0,*,"",""
"shr-core-Media-model.bodyLocation","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-BodyLocation-model {[]} {[]}
","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.
+ Code only: The code should include (precoordinate) laterality and/orientation to the degree necessary to completely specify the body location.
+ Code plus laterality and/or orientation: The basic code augmented by codes specifying the body side and/or anatomical orientation.
+ Relation to landmark: The location relative to a landmark is specified by:
- Establishing the location and type of landmark using a body site code and optional laterality/orientation, and
- Specifying the direction and distance from the landmark to the body location.
Note that BodyLocation is a data type, a reusable structure, not a stand-alone entity. The concept is similar to how a postal address can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.bodyLocation",0,1,"",""
"shr-core-Media-model.device","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model]]}
","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.
Device status cannot be reconciled between Argonaut and US-Core, each having different required value sets.
Device type has extensible mappings to different value sets in Argonaut and US-Core, however both value sets have identical SNOMED content (descendants of 49062001 (Device). We adopt the US-Core value set, which is allowable because the binding is extensible.","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.device",0,1,"",""
"shr-core-Media-model.pixelHeight","","","",0,1,"","","","positiveInt {[]} {[]}
","Height of the image in pixels (photo/video)","Height of the image in pixels (photo/video)","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.pixelHeight",0,1,"",""
"shr-core-Media-model.pixelWidth","","","",0,1,"","","","positiveInt {[]} {[]}
","Width of the image in pixels (photo/video)","Width of the image in pixels (photo/video)","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.pixelWidth",0,1,"",""
"shr-core-Media-model.frames","","","",0,1,"","","","positiveInt {[]} {[]}
","Number of frames if > 1 (photo)","Number of frames if > 1 (photo)","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.frames",0,1,"",""
"shr-core-Media-model.numberOfSecondsDuration","","","",0,1,"","","","unsignedInt {[]} {[]}
","Length in seconds (rounded to nearest whole second)","Length in seconds (rounded to nearest whole second)","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.numberOfSecondsDuration",0,1,"",""
"shr-core-Media-model.attachment","","","",1,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Attachment-model {[]} {[]}
","A file that contains audio, video, image, or similar content.","A file that contains audio, video, image, or similar content.","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.attachment",1,1,"",""
"shr-core-Media-model.annotation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Annotation-model {[]} {[]}
","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.annotation",0,*,"",""
