"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Procedure-model","","","",0,*,"","","","","","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model",0,*,"",""
"shr-core-Procedure-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.metadata",0,1,"",""
"shr-core-Procedure-model.participation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Record of someone or something involvement in an activity or event.","Record of someone or something involvement in an activity or event.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.participation",0,*,"",""
"shr-core-Procedure-model.participation.procedureParticipant[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model]]}
","Constrains participants to classes that are accepted by FHIR as actors in procedures in STU 3.","Constrains participants to classes that are accepted by FHIR as actors in procedures in STU 3.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.participation.procedureParticipant[x]",0,1,"",""
"shr-core-Procedure-model.participation.participationType","","","",0,1,"","","","Coding {[]} {[]}
","The role played by the participant engaged in the action, for example, as the attending physician, surgical assistant, etc.","The role played by the participant engaged in the action, for example, as the attending physician, surgical assistant, etc.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/performer-role","",,,,"shr-core-Procedure-model.participation.participationType",0,1,"",""
"shr-core-Procedure-model.participation.participationPeriod","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","The point in time or span of time the participant is involved.","The point in time or span of time the participant is involved.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.participation.participationPeriod",0,1,"",""
"shr-core-Procedure-model.participation.onBehalfOf","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}
","The party represented by the actual participant.","The party represented by the actual participant.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.participation.onBehalfOf",0,1,"",""
"shr-core-Procedure-model.method","","","",0,0,"","","","Coding {[]} {[]}
","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.method",0,0,"",""
"shr-core-Procedure-model.procedurePartOf[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationAdministration-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","A larger event of which this particular procedure is a component or step.","A larger event of which this particular procedure is a component or step.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-Procedure-model.procedurePartOf[x]",0,1,"",""
"shr-core-Procedure-model.procedurePartOfShr-core-Procedure-model","Procedure","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model]]}
","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.procedurePartOf[x]",0,1,"",""
"shr-core-Procedure-model.procedurePartOfShr-core-MedicationAdministration-model","MedicationAdministration","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationAdministration-model]]}
","A record of the use of a medication. If the medication is given as part of a course of treatment, the PartOf attribute should refer to the CourseOfTreatment.","A record of the use of a medication. If the medication is given as part of a course of treatment, the PartOf attribute should refer to the CourseOfTreatment.
Although FHIR MedicationAdministration supports date of administration, information source, performer, it lacks common provenance elements, statement creation date, author, and recorder. These are supported as optional extensions.
FHIR DSTU2 lacks a category attribute, which is provided as an extension in that version.
SHR does not allow the 'not given' attributes from DSTU2 and STU3, since they are dropped in R4. The status element is used to document medications not given.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.procedurePartOf[x]",0,1,"",""
"shr-core-Procedure-model.procedurePartOfShr-core-Observation-model","Observation","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","Represents the result of evaluations (measurements, tests, or questions) that have been performed.","Represents the result of evaluations (measurements, tests, or questions) that have been performed.
Observation has a value representing the result (answer), or an DataAbsentReason indicating why the value is not present. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.
For an Observation, the Code describes the aspect or property of the subject being observed or measured. The Code is the 'question code' that pairs to the 'answer' contained in the Value.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.procedurePartOf[x]",0,1,"",""
"shr-core-Procedure-model.category","","","",0,1,"","","","Coding {[]} {[]}
","The general type or class of this item.","The general type or class of this item.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.category",0,1,"",""
"shr-core-Procedure-model.code","","","",1,1,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/core/ValueSet/us-core-procedure-code","",,,,"shr-core-Procedure-model.code",1,1,"",""
"shr-core-Procedure-model.personAuthor[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","A human author, patient, practitioner, or related person, as opposed to an organization or device.","A human author, patient, practitioner, or related person, as opposed to an organization or device.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.personAuthor[x]",0,1,"",""
"shr-core-Procedure-model.personInformationSource[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","The person who provided the information, not necessarily the patient.","The person who provided the information, not necessarily the patient.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.personInformationSource[x]",0,1,"",""
"shr-core-Procedure-model.location","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Location-model]]}
","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.location",0,1,"",""
"shr-core-Procedure-model.bodyLocation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-BodyLocation-model {[]} {[]}
","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.
+ Code only: The code should include (precoordinate) laterality and/orientation to the degree necessary to completely specify the body location.
+ Code plus laterality and/or orientation: The basic code augmented by codes specifying the body side and/or anatomical orientation.
+ Relation to landmark: The location relative to a landmark is specified by:
- Establishing the location and type of landmark using a body site code and optional laterality/orientation, and
- Specifying the direction and distance from the landmark to the body location.
Note that BodyLocation is a data type, a reusable structure, not a stand-alone entity. The concept is similar to how a postal address can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.bodyLocation",0,*,"",""
"shr-core-Procedure-model.outcome","","","",0,1,"","","","Coding {[]} {[]}
","The result of an event or performance of an action or behavior, for example, an adverse reaction or procedure.","The result of an event or performance of an action or behavior, for example, an adverse reaction or procedure.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/procedure-outcome","",,,,"shr-core-Procedure-model.outcome",0,1,"",""
"shr-core-Procedure-model.diagnosticReport","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DiagnosticReport-model]]}
","DiagnosticReport","DiagnosticReport","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.diagnosticReport",0,*,"",""
"shr-core-Procedure-model.complicationCode","","","",0,*,"","","","Coding {[]} {[]}
","Complication following the procedure, as a code.","Complication following the procedure, as a code.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.complicationCode",0,*,"",""
"shr-core-Procedure-model.complicationReference","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model]]}
","Complication following the procedure, as a reference to a Condition.","Complication following the procedure, as a reference to a Condition.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.complicationReference",0,*,"",""
"shr-core-Procedure-model.followUp","","","",0,*,"","","","Coding {[]} {[]}
","Instructions for follow up.","Instructions for follow up.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.followUp",0,*,"",""
"shr-core-Procedure-model.annotation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Annotation-model {[]} {[]}
","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.annotation",0,*,"",""
"shr-core-Procedure-model.focalDevice","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-FocalDevice-model {[]} {[]}
","Activity involving a device that is implanted, removed or otherwise manipulated (e.g., calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.","Activity involving a device that is implanted, removed or otherwise manipulated (e.g., calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.focalDevice",0,*,"",""
"shr-core-Procedure-model.treatmentIntent","","","",0,1,"","","","Coding {[]} {[]}
","The purpose of a treatment.","The purpose of a treatment.","","","","","","","","","",,"required","","http://hl7.org/fhir/us/shrcore/shr/core/vs/TreatmentIntentVS","http://snomed.info/sct#395077000 (Treatment intent (situation))
",,,,"shr-core-Procedure-model.treatmentIntent",0,1,"",""
"shr-core-Procedure-model.materialUsedReference[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Medication-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Substance-model]]}
","Identifies medications, devices and any other substance used as part of the procedure.","Identifies medications, devices and any other substance used as part of the procedure.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-Procedure-model.materialUsedReference[x]",0,*,"",""
"shr-core-Procedure-model.materialUsedReferenceShr-core-Device-model","Device","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model]]}
","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.
Device status cannot be reconciled between Argonaut and US-Core, each having different required value sets.
Device type has extensible mappings to different value sets in Argonaut and US-Core, however both value sets have identical SNOMED content (descendants of 49062001 (Device). We adopt the US-Core value set, which is allowable because the binding is extensible.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.materialUsedReference[x]",0,*,"",""
"shr-core-Procedure-model.materialUsedReferenceShr-core-Medication-model","Medication","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Medication-model]]}
","A type of prescription drug or over-the-counter drug that is used to prevent, treat, or relieve symptoms of a disease or abnormal condition, but excluding vaccines.","A type of prescription drug or over-the-counter drug that is used to prevent, treat, or relieve symptoms of a disease or abnormal condition, but excluding vaccines.
In FHIR DSTU2 and STU3, Medication lacks the identifier attribute, which is included in SHR as an extension.
DSTU2 lacks the status attribute, which is required by US-Core.
Batch is 0..1 in FHIR R4, and accordingly is restricted here.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.materialUsedReference[x]",0,*,"",""
"shr-core-Procedure-model.materialUsedReferenceShr-core-Substance-model","Substance","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Substance-model]]}
","Any matter of defined composition that has discrete existence, whose origin may be biological, mineral or chemical.","Any matter of defined composition that has discrete existence, whose origin may be biological, mineral or chemical.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.materialUsedReference[x]",0,*,"",""
"shr-core-Procedure-model.usedCode","","","",0,*,"","","","Coding {[]} {[]}
","Item used during an activity, represented as a code.","Item used during an activity, represented as a code.","","","","","","","","","",,,,,"",,,,"shr-core-Procedure-model.usedCode",0,*,"",""
