"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-RadiationProcedure-model","","","",0,*,"","","","","","A radiation oncology procedure. If the treatment is part of a larger course of treatment, the PartOf attribute should indicate that.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model",0,*,"",""
"shr-core-RadiationProcedure-model.occurrenceTimeOrPeriod[x]","","","",1,1,"","","","date {[]} {[]}
dateTime {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}","The point or period of time when the event takes place. Times can be precise (dateTime) or approximate (date). If a time period is used, and the start date or dateTime is missing, the start of the period is not known. If the end date or dateTime is missing, it means that the period is ongoing.","The point or period of time when the event takes place. Times can be precise (dateTime) or approximate (date). If a time period is used, and the start date or dateTime is missing, the start of the period is not known. If the end date or dateTime is missing, it means that the period is ongoing.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.occurrenceTimeOrPeriod[x]",1,1,"",""
"shr-core-RadiationProcedure-model.participation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Record of someone or something involvement in an activity or event.","Record of someone or something involvement in an activity or event.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.participation",0,*,"",""
"shr-core-RadiationProcedure-model.participation.practitionerProcedureParticipant","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model]]}
","Constrains participants to classes that are accepted by FHIR as actors in procedures in STU 3.","Constrains participants to classes that are accepted by FHIR as actors in procedures in STU 3.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C2220264
",,,,"shr-core-RadiationProcedure-model.participation.practitionerProcedureParticipant",0,1,"",""
"shr-core-RadiationProcedure-model.participation.participationType","","","",0,1,"","","","Coding {[]} {[]}
","The role played by the participant engaged in the action, for example, as the attending physician, surgical assistant, etc.","The role played by the participant engaged in the action, for example, as the attending physician, surgical assistant, etc.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/performer-role","",,,,"shr-core-RadiationProcedure-model.participation.participationType",0,1,"",""
"shr-core-RadiationProcedure-model.participation.participationPeriod","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","The point in time or span of time the participant is involved.","The point in time or span of time the participant is involved.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.participation.participationPeriod",0,1,"",""
"shr-core-RadiationProcedure-model.participation.onBehalfOf","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}
","The party represented by the actual participant.","The party represented by the actual participant.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.participation.onBehalfOf",0,1,"",""
"shr-core-RadiationProcedure-model.method","","","",0,0,"","","","Coding {[]} {[]}
","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.method",0,0,"",""
"shr-core-RadiationProcedure-model.procedurePartOf[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationAdministration-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","A larger event of which this particular procedure is a component or step.","A larger event of which this particular procedure is a component or step.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-RadiationProcedure-model.procedurePartOf[x]",0,1,"",""
"shr-core-RadiationProcedure-model.procedurePartOfShr-core-Procedure-model","Procedure","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model]]}
","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.procedurePartOf[x]",0,1,"",""
"shr-core-RadiationProcedure-model.procedurePartOfShr-core-MedicationAdministration-model","MedicationAdministration","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationAdministration-model]]}
","A record of the use of a medication. If the medication is given as part of a course of treatment, the PartOf attribute should refer to the CourseOfTreatment.","A record of the use of a medication. If the medication is given as part of a course of treatment, the PartOf attribute should refer to the CourseOfTreatment.
Although FHIR MedicationAdministration supports date of administration, information source, performer, it lacks common provenance elements, statement creation date, author, and recorder. These are supported as optional extensions.
FHIR DSTU2 lacks a category attribute, which is provided as an extension in that version.
SHR does not allow the 'not given' attributes from DSTU2 and STU3, since they are dropped in R4. The status element is used to document medications not given.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.procedurePartOf[x]",0,1,"",""
"shr-core-RadiationProcedure-model.procedurePartOfShr-core-Observation-model","Observation","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","Represents the result of evaluations (measurements, tests, or questions) that have been performed.","Represents the result of evaluations (measurements, tests, or questions) that have been performed.
Observation has a value representing the result (answer), or an DataAbsentReason indicating why the value is not present. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.
For an Observation, the Code describes the aspect or property of the subject being observed or measured. The Code is the 'question code' that pairs to the 'answer' contained in the Value.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.procedurePartOf[x]",0,1,"",""
"shr-core-RadiationProcedure-model.category","","","",0,1,"","","","Coding {[]} {[]}
","The general type or class of this item.","The general type or class of this item.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.category",0,1,"",""
"shr-core-RadiationProcedure-model.code","","","",1,1,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/shrcore/shr/core/vs/RadiationProcedureVS","",,,,"shr-core-RadiationProcedure-model.code",1,1,"",""
"shr-core-RadiationProcedure-model.personAuthor[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","A human author, patient, practitioner, or related person, as opposed to an organization or device.","A human author, patient, practitioner, or related person, as opposed to an organization or device.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.personAuthor[x]",0,1,"",""
"shr-core-RadiationProcedure-model.personInformationSource[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","The person who provided the information, not necessarily the patient.","The person who provided the information, not necessarily the patient.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.personInformationSource[x]",0,1,"",""
"shr-core-RadiationProcedure-model.location","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Location-model]]}
","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.location",0,1,"",""
"shr-core-RadiationProcedure-model.bodyLocation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-BodyLocation-model {[]} {[]}
","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.
+ Code only: The code should include (precoordinate) laterality and/orientation to the degree necessary to completely specify the body location.
+ Code plus laterality and/or orientation: The basic code augmented by codes specifying the body side and/or anatomical orientation.
+ Relation to landmark: The location relative to a landmark is specified by:
- Establishing the location and type of landmark using a body site code and optional laterality/orientation, and
- Specifying the direction and distance from the landmark to the body location.
Note that BodyLocation is a data type, a reusable structure, not a stand-alone entity. The concept is similar to how a postal address can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.bodyLocation",0,*,"",""
"shr-core-RadiationProcedure-model.bodyLocation.code","","","",1,1,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/shrcore/shr/core/vs/RadiationTargetBodySiteVS","",,,,"shr-core-RadiationProcedure-model.bodyLocation.code",1,1,"",""
"shr-core-RadiationProcedure-model.bodyLocation.laterality","","","",0,1,"","","","Coding {[]} {[]}
","Body side of the body location, if needed to distinguish from a similar location on the other side of the body.","Body side of the body location, if needed to distinguish from a similar location on the other side of the body.

The laterality element is part of BodyLocation, a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.

+ Code only: The code should include (precoordinate) laterality and/orientation to the degree necessary to completely specify the body location.
+ Code plus laterality and/or orientation: The basic code augmented by codes specifying the body side and/or anatomical orientation.
+ Relation to landmark: The location relative to a landmark is specified by:
- Establishing the location and type of landmark using a body site code and optional laterality/orientation, and
- Specifying the direction and distance from the landmark to the body location.

Note that BodyLocation is a data type (a reusable structure), not a stand-alone entity. The concept is similar to how a postal address can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/shrcore/shr/core/vs/LateralityVS","",,,,"shr-core-RadiationProcedure-model.bodyLocation.laterality",0,1,"",""
"shr-core-RadiationProcedure-model.bodyLocation.orientation","","","",0,1,"","","","Coding {[]} {[]}
","Orientation of the body location, if needed to distinguish from a similar location in another orientation.","Orientation of the body location, if needed to distinguish from a similar location in another orientation.
The orientation element is part of BodyLocation, a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.

+ Code only: The code should include (precoordinate) laterality and/orientation to the degree necessary to completely specify the body location.
+ Code plus laterality and/or orientation: The basic code augmented by codes specifying the body side and/or anatomical orientation.
+ Relation to landmark: The location relative to a landmark is specified by:
- Establishing the location and type of landmark using a body site code and optional laterality/orientation, and
- Specifying the direction and distance from the landmark to the body location.

Note that BodyLocation is a data type (a reusable structure), not a stand-alone entity. The concept is similar to how a postal address can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/shrcore/shr/core/vs/OrientationVS","",,,,"shr-core-RadiationProcedure-model.bodyLocation.orientation",0,1,"",""
"shr-core-RadiationProcedure-model.bodyLocation.relationToLandmark","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelationToLandmark-model {[]} {[]}
","The relationship between a landmark that helps determine a body location and the body location itself. The location relative to a landmark is specified by:","The relationship between a landmark that helps determine a body location and the body location itself. The location relative to a landmark is specified by:
* Specifying the location and type of landmark using a body site code and optional laterality/orientation,
* Specifying the direction from the landmark to the body location, and
* Specifying the distance from the landmark to the body location.

The RelationToLandmark element is part of BodyLocation, a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.

+ Code only: The code should include (precoordinate) laterality and/orientation to the degree necessary to completely specify the body location.
+ Code plus laterality and/or orientation: The basic code augmented by codes specifying the body side and/or anatomical orientation.
+ Relation to landmark: The location relative to a landmark is specified by:
- Establishing the location and type of landmark using a body site code and optional laterality/orientation, and
- Specifying the direction and distance from the landmark to the body location.

Note that BodyLocation is a data type (a reusable structure), not a stand-alone entity. The concept is similar to how a postal address can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.bodyLocation.relationToLandmark",0,*,"",""
"shr-core-RadiationProcedure-model.outcome","","","",0,1,"","","","Coding {[]} {[]}
","The result of an event or performance of an action or behavior, for example, an adverse reaction or procedure.","The result of an event or performance of an action or behavior, for example, an adverse reaction or procedure.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/procedure-outcome","",,,,"shr-core-RadiationProcedure-model.outcome",0,1,"",""
"shr-core-RadiationProcedure-model.diagnosticReport","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DiagnosticReport-model]]}
","DiagnosticReport","DiagnosticReport","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.diagnosticReport",0,*,"",""
"shr-core-RadiationProcedure-model.complicationCode","","","",0,*,"","","","Coding {[]} {[]}
","Complication following the procedure, as a code.","Complication following the procedure, as a code.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.complicationCode",0,*,"",""
"shr-core-RadiationProcedure-model.complicationReference","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model]]}
","Complication following the procedure, as a reference to a Condition.","Complication following the procedure, as a reference to a Condition.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.complicationReference",0,*,"",""
"shr-core-RadiationProcedure-model.followUp","","","",0,*,"","","","Coding {[]} {[]}
","Instructions for follow up.","Instructions for follow up.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.followUp",0,*,"",""
"shr-core-RadiationProcedure-model.annotation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Annotation-model {[]} {[]}
","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.annotation",0,*,"",""
"shr-core-RadiationProcedure-model.focalDevice","","","",0,0,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-FocalDevice-model {[]} {[]}
","Activity involving a device that is implanted, removed or otherwise manipulated (e.g., calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.","Activity involving a device that is implanted, removed or otherwise manipulated (e.g., calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.","","","","","","","","","",,,,,"",,,,"shr-core-RadiationProcedure-model.focalDevice",0,0,"",""
"shr-core-RadiationProcedure-model.treatmentIntent","","","",0,1,"","","","Coding {[]} {[]}
","The purpose of a treatment.","The purpose of a treatment.","","","","","","","","","",,"required","","http://hl7.org/fhir/us/shrcore/shr/core/vs/TreatmentIntentVS","http://snomed.info/sct#395077000 (Treatment intent (situation))
",,,,"shr-core-RadiationProcedure-model.treatmentIntent",0,1,"",""
