"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-ComorbidCondition-model","","","",0,*,"","","","","","A comorbidity refers to one or more diseases or conditions that occur along with another condition in the same person at the same time. Conditions considered comorbidities are often long-term or chronic conditions. Comorbidities are defined relative to an index disease and may be categorical, rather than described in full detail. The comorbid condition class provides comorbidity codes corresponding the Elixhauser Comorbidity Index.","","","","","","","","","",,,,,"",,,,"shr-core-ComorbidCondition-model",0,*,"",""
"shr-core-ComorbidCondition-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-ComorbidCondition-model.metadata",0,1,"",""
"shr-core-ComorbidCondition-model.category.extension","","","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"",""
"shr-core-ComorbidCondition-model.category.system","","","",1,1,"","","Y","uri {[]} {[]}
","Identity of the terminology system","The identification of the code system that defines the meaning of the symbol in the code.","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should de-reference to some definition that establish the system clearly and unambiguously.","Need to be unambiguous about the source of the definition of the symbol.","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://snomed.info/sct""/>","","","","",,,,,"",,,,"Coding.system",0,1,"",""
"shr-core-ComorbidCondition-model.category.version","","","",0,1,"","","Y","string {[]} {[]}
","Version of the system - if relevant","The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"",""
"shr-core-ComorbidCondition-model.category.code","","","",1,1,"","","Y","code {[]} {[]}
","Symbol in syntax defined by the system","A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).","","Need to refer to a particular code in the system.","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""398192003""/>","","","","",,,,,"",,,,"Coding.code",0,1,"",""
"shr-core-ComorbidCondition-model.category.display","","","",0,1,"","","Y","string {[]} {[]}
","Representation defined by the system","A representation of the meaning of the code in the system, following the rules of the system.","","Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.","","","","","","","",,,,,"",,,,"Coding.display",0,1,"",""
"shr-core-ComorbidCondition-model.category.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","If this coding was chosen directly by the user","Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"",""
"shr-core-ComorbidCondition-model.severity","","","",0,1,"","","","Coding {[]} {[]}
","Degree of harshness or extent of a symptom, disorder, or condition.","Degree of harshness or extent of a symptom, disorder, or condition.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/condition-severity","",,,,"shr-core-ComorbidCondition-model.severity",0,1,"",""
"shr-core-ComorbidCondition-model.bodyLocation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-BodyLocation-model {[]} {[]}
","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.
+ Code only: The code should include (precoordinate) laterality and/orientation to the degree necessary to completely specify the body location.
+ Code plus laterality and/or orientation: The basic code augmented by codes specifying the body side and/or anatomical orientation.
+ Relation to landmark: The location relative to a landmark is specified by:
- Establishing the location and type of landmark using a body site code and optional laterality/orientation, and
- Specifying the direction and distance from the landmark to the body location.
Note that BodyLocation is a data type, a reusable structure, not a stand-alone entity. The concept is similar to how a postal address can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,,,,"",,,,"shr-core-ComorbidCondition-model.bodyLocation",0,*,"",""
"shr-core-ComorbidCondition-model.onset[x]","","","",0,1,"","","","dateTime {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Age-model {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Range-model {[]} {[]}string {[]} {[]}","The beginning or first appearance of a mental or physical disorder.","The beginning or first appearance of a mental or physical disorder.","","","","","","","","","",,,,,"",,,,"shr-core-ComorbidCondition-model.onset[x]",0,1,"",""
"shr-core-ComorbidCondition-model.abatement[x]","","","",0,1,"","","","dateTime {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Age-model {[]} {[]}boolean {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Range-model {[]} {[]}string {[]} {[]}","The end, remission or resolution.","The end, remission or resolution.","","","","","","","","","",,,,,"",,,,"shr-core-ComorbidCondition-model.abatement[x]",0,1,"",""
"shr-core-ComorbidCondition-model.author[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model]]}
","The actor who created the item and it responsible for the content (regardless of the information source or who recorded it). If only the author is given, it is assumed the author is the information source and the recorder.","The actor who created the item and it responsible for the content (regardless of the information source or who recorded it). If only the author is given, it is assumed the author is the information source and the recorder.","","","","","","","","","",,,,,"",,,,"shr-core-ComorbidCondition-model.author[x]",0,1,"",""
"shr-core-ComorbidCondition-model.personInformationSource[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","The person who provided the information, not necessarily the patient.","The person who provided the information, not necessarily the patient.","","","","","","","","","",,,,,"",,,,"shr-core-ComorbidCondition-model.personInformationSource[x]",0,1,"",""
"shr-core-ComorbidCondition-model.stageInformation","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-StageInformation-model {[]} {[]}
","The relative advancement in the course of a disease. The StageCode is the summary stage or stage group. StageDetail optionally contains the full staging information.","The relative advancement in the course of a disease. The StageCode is the summary stage or stage group. StageDetail optionally contains the full staging information.","","","","","","","","","",,,,,"",,,,"shr-core-ComorbidCondition-model.stageInformation",0,1,"",""
"shr-core-ComorbidCondition-model.evidence","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Evidence-model {[]} {[]}
","Supporting evidence / manifestations that are the basis of the Condition's verification status, such as evidence that confirmed or refuted the condition.","Supporting evidence / manifestations that are the basis of the Condition's verification status, such as evidence that confirmed or refuted the condition.","","","","","","","","","",,,,,"",,,,"shr-core-ComorbidCondition-model.evidence",0,1,"",""
"shr-core-ComorbidCondition-model.annotation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Annotation-model {[]} {[]}
","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"shr-core-ComorbidCondition-model.annotation",0,*,"",""
"shr-core-ComorbidCondition-model.dateOfDiagnosis","","","",0,0,"","","","date {[]} {[]}
","The date the disease was first clinically recognized with sufficient certainty, regardless of whether it was fully characterized at that time.","The date the disease was first clinically recognized with sufficient certainty, regardless of whether it was fully characterized at that time.","","","","","","","","","",,,,,"",,,,"shr-core-ComorbidCondition-model.dateOfDiagnosis",0,0,"",""
