"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-SimpleCodedNonLaboratoryObservation-model","","","",0,*,"","","","","","An observation whose result is a code, and also having no components or panel members","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.observationBasedOn[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationRequest-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ServiceRequest-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ProcedureRequest-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferralRequest-model]]}
","A plan, proposal or order that is fulfilled in whole or in part by this event. For example, a MedicationRequest may require a patient to have laboratory test performed before it is dispensed.","A plan, proposal or order that is fulfilled in whole or in part by this event. For example, a MedicationRequest may require a patient to have laboratory test performed before it is dispensed.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.observationBasedOn[x]",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.observationPartOf[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationAdministration-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationDispense-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationStatement-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model]]}
","A larger event of which this particular Observation is a component or step. For example, an observation as part of a procedure.","A larger event of which this particular Observation is a component or step. For example, an observation as part of a procedure.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-SimpleCodedNonLaboratoryObservation-model.observationPartOf[x]",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.observationPartOfShr-core-MedicationAdministration-model","MedicationAdministration","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationAdministration-model]]}
","A record of the use of a medication. If the medication is given as part of a course of treatment, the PartOf attribute should refer to the CourseOfTreatment.","A record of the use of a medication. If the medication is given as part of a course of treatment, the PartOf attribute should refer to the CourseOfTreatment.
Although FHIR MedicationAdministration supports date of administration, information source, performer, it lacks common provenance elements, statement creation date, author, and recorder. These are supported as optional extensions.
FHIR DSTU2 lacks a category attribute, which is provided as an extension in that version.
SHR does not allow the 'not given' attributes from DSTU2 and STU3, since they are dropped in R4. The status element is used to document medications not given.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.observationPartOf[x]",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.observationPartOfShr-core-MedicationDispense-model","MedicationDispense","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationDispense-model]]}
","Indicates that a medication product has been dispensed for a named person/patient. This includes a description of the medication product (supply) provided and the instructions for administering the medication. The medication dispense is the result of a pharmacy system responding to a medication order.","Indicates that a medication product has been dispensed for a named person/patient. This includes a description of the medication product (supply) provided and the instructions for administering the medication. The medication dispense is the result of a pharmacy system responding to a medication order.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.observationPartOf[x]",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.observationPartOfShr-core-MedicationStatement-model","MedicationStatement","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationStatement-model]]}
","A record of the use of a medication. The use may be reported by the patient or clinician and adminstration does not have to be directly observed.","A record of the use of a medication. The use may be reported by the patient or clinician and adminstration does not have to be directly observed.

FHIR Notes:

Although FHIR supports the asserter (information source) and date asserted, it does not have a place for the author (who created and is responsible for the statement) and recorder (who entered the statement). Extensions are provided.

The treatment of 'not taken' has changed from DSTU2 and STU3 to R4. In R4, status and statusReason are used to indicate medications not taken. For upward compatibility, the 'not taken' attributes are profiled out.
ReasonCode is a choice of CodeableConcept or ref(Condition) in DSTU2, and limited to one reason (pick a type). In STU3 and R4, there can be multiple reason codes, and multiple reason references, simultaneously.

Preference is given to using the National Library of Medicine (NLM) RxNorm terminology for medications. RxNorm is a coding standard established by the Office of the National Coordinator (ONC). However, RxNorm is restricted to FDA-approved drugs and does not include clinical trial drugs. MedicationStatement allows for the inclusion of other coding systems like the NCI Thesaurus (NCIT) to represent clinical trial oncology drugs.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.observationPartOf[x]",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.observationPartOfShr-core-Procedure-model","Procedure","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model]]}
","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.observationPartOf[x]",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.category","","","",0,1,"","","","Coding {[]} {[]}
","The general type or class of this item.","The general type or class of this item.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/observation-category","",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.category",0,1,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.focalSubject[x]","","","",0,*,"","","","Coding {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DomainResource-model]]}","The person or entity that the information in this resource relates to, if different than the person of record. The subject of information can be a reference or a code, the latter when the subject is described generically, for example, in terms of a relationship to the subject of record (e.g., wife).","The person or entity that the information in this resource relates to, if different than the person of record. The subject of information can be a reference or a code, the latter when the subject is described generically, for example, in terms of a relationship to the subject of record (e.g., wife).","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.focalSubject[x]",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.relevantTime[x]","","","",0,1,"","","","dateTime {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}","The time or time period that the statement addresses.","The time or time period that the statement addresses.
The clinically relevant time is not necessarily when the information is gathered or when a test is carried out, but for example, when a specimen was collected, or the time period referred to by the question. Use a TimePeriod for a measurement or specimen collection continued over a significant period of time (e.g. 24 hour Urine Sodium).","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.relevantTime[x]",0,1,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.performer[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","The actor that carried out the observation or action.","The actor that carried out the observation or action.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.performer[x]",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.dataValue","","","",0,1,"","","","Coding {[]} {[]}
","The value or result of a test, evaluation, or judgment, for example, a systolic blood pressure, or if a condition or body structure is present or absent.","The value or result of a test, evaluation, or judgment, for example, a systolic blood pressure, or if a condition or body structure is present or absent.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.dataValue",0,1,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.dataAbsentReason","","","",0,1,"","","","Coding {[]} {[]}
","Reason that a value associated with a test or other finding is missing.","Reason that a value associated with a test or other finding is missing.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/data-absent-reason","",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.dataAbsentReason",0,1,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.interpretation","","","",0,1,"","","","Coding {[]} {[]}
","A clinical interpretation of a finding (applies to both assertions and observation).","A clinical interpretation of a finding (applies to both assertions and observation).","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/observation-interpretation","",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.interpretation",0,1,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.annotation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Annotation-model {[]} {[]}
","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.annotation",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.bodyLocation","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-BodyLocation-model {[]} {[]}
","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.
+ Code only: The code should include (precoordinate) laterality and/orientation to the degree necessary to completely specify the body location.
+ Code plus laterality and/or orientation: The basic code augmented by codes specifying the body side and/or anatomical orientation.
+ Relation to landmark: The location relative to a landmark is specified by:
- Establishing the location and type of landmark using a body site code and optional laterality/orientation, and
- Specifying the direction and distance from the landmark to the body location.
Note that BodyLocation is a data type, a reusable structure, not a stand-alone entity. The concept is similar to how a postal address can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.bodyLocation",0,1,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.method","","","",0,1,"","","","Coding {[]} {[]}
","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.method",0,1,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.device","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model]]}
","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.
Device status cannot be reconciled between Argonaut and US-Core, each having different required value sets.
Device type has extensible mappings to different value sets in Argonaut and US-Core, however both value sets have identical SNOMED content (descendants of 49062001 (Device). We adopt the US-Core value set, which is allowable because the binding is extensible.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.device",0,1,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.referenceRange","","","",0,0,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferenceRange-model {[]} {[]}
","The usual or acceptable range for a test result.","The usual or acceptable range for a test result.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0883335
",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.referenceRange",0,0,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.panelMembers","","","",0,0,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-PanelMembers-model {[]} {[]}
","PanelMembers represent the elements of a group of a related but independent evaluations.","PanelMembers represent the elements of a group of a related but independent evaluations.

Examples are the measurements that compose a complete blood count (CBC), or the elements of a pathology report. Each member is an independent evaluation, but the grouping reflects a composite lab order, shared specimen, or a single report author. Typically the Category and ReasonCode are not given for individual findings that are part of the panel, but rather given at the level of the panel itself.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.panelMembers",0,0,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.observationDerivedFrom[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DocumentReference-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Media-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-QuestionnaireResponse-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","The target resource that represents a measurement from which this observation value is derived. For example, a calculated anion gap or a fetal measurement based on an ultrasound image.","The target resource that represents a measurement from which this observation value is derived. For example, a calculated anion gap or a fetal measurement based on an ultrasound image.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-SimpleCodedNonLaboratoryObservation-model.observationDerivedFrom[x]",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.observationDerivedFromShr-core-DocumentReference-model","DocumentReference","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DocumentReference-model]]}
","A reference to a document, used to describe a document that is made available to a healthcare system. A document is some sequence of bytes that is identifiable, establishes its own context (e.g., what subject, author, etc. can be displayed to the user), and has defined update management. The DocumentReference resource can be used with any document format that has a recognized mime type and that conforms to this definition.","A reference to a document, used to describe a document that is made available to a healthcare system. A document is some sequence of bytes that is identifiable, establishes its own context (e.g., what subject, author, etc. can be displayed to the user), and has defined update management. The DocumentReference resource can be used with any document format that has a recognized mime type and that conforms to this definition.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.observationDerivedFrom[x]",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.observationDerivedFromShr-core-Media-model","Media","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Media-model]]}
","A photo, video, or audio recording acquired or used in healthcare. The actual content may be inline or provided by direct reference.","A photo, video, or audio recording acquired or used in healthcare. The actual content may be inline or provided by direct reference.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.observationDerivedFrom[x]",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.observationDerivedFromShr-core-QuestionnaireResponse-model","QuestionnaireResponse","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-QuestionnaireResponse-model]]}
","A structured set of questions and their answers. The questions are ordered and grouped into coherent subsets, corresponding to the structure of the grouping of the questionnaire being responded to.","A structured set of questions and their answers. The questions are ordered and grouped into coherent subsets, corresponding to the structure of the grouping of the questionnaire being responded to.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.observationDerivedFrom[x]",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.observationDerivedFromShr-core-Observation-model","Observation","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","Represents the result of evaluations (measurements, tests, or questions) that have been performed.","Represents the result of evaluations (measurements, tests, or questions) that have been performed.
Observation has a value representing the result (answer), or an DataAbsentReason indicating why the value is not present. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.
For an Observation, the Code describes the aspect or property of the subject being observed or measured. The Code is the 'question code' that pairs to the 'answer' contained in the Value.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.observationDerivedFrom[x]",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.components","","","",0,0,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Components-model {[]} {[]}
","Sub-observations that are part of this observation. A sub-observation contributs to the parent observation and are always treated a part of a single observation (they are not separable). However, the reference range for the primary observation value is not inherited by the component values and is required when appropriate for each component observation.","Sub-observations that are part of this observation. A sub-observation contributs to the parent observation and are always treated a part of a single observation (they are not separable). However, the reference range for the primary observation value is not inherited by the component values and is required when appropriate for each component observation.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.components",0,0,"",""
