"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-DocumentReference-model","","","",0,*,"","","","","","A reference to a document, used to describe a document that is made available to a healthcare system. A document is some sequence of bytes that is identifiable, establishes its own context (e.g., what subject, author, etc. can be displayed to the user), and has defined update management. The DocumentReference resource can be used with any document format that has a recognized mime type and that conforms to this definition.","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReference-model",0,*,"",""
"shr-core-DocumentReference-model.subjectOfRecord","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model]]}
","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.

Note that the word 'Subject' is used here in the sense of a person or entity subjected to observations or actions, not subject as in a conceptual topic, like heart disease.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1299487
",,,,"shr-core-DocumentReference-model.subjectOfRecord",0,1,"",""
"shr-core-DocumentReference-model.statementDateTime","","","",1,1,"","","","dateTime {[]} {[]}
","The point in time when the statement was created.","The point in time when the statement was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"shr-core-DocumentReference-model.statementDateTime",1,1,"",""
"shr-core-DocumentReference-model.documentAuthor[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","The author of the document.","The author of the document.","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReference-model.documentAuthor[x]",0,*,"",""
"shr-core-DocumentReference-model.authenticator[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}
","Who authenticated the document","Who authenticated the document","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReference-model.authenticator[x]",0,1,"",""
"shr-core-DocumentReference-model.managingOrganization","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}
","The organization that manages a patient, activity, facility, document, or service provision.","The organization that manages a patient, activity, facility, document, or service provision.","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReference-model.managingOrganization",0,1,"",""
"shr-core-DocumentReference-model.relatedDocument","","","",0,*,"","","","BackboneElement {[]} {[]}
","Documents related to this one.","Documents related to this one.","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReference-model.relatedDocument",0,*,"",""
"shr-core-DocumentReference-model.relatedDocument.relationship","","","",1,1,"","","","Coding {[]} {[]}
","A description of the association between people or items.","A description of the association between people or items.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/document-relationship-type","",,,,"shr-core-DocumentReference-model.relatedDocument.relationship",1,1,"",""
"shr-core-DocumentReference-model.relatedDocument.targetDocument","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DocumentReference-model]]}
","The target document of this relationship.","The target document of this relationship.","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReference-model.relatedDocument.targetDocument",1,1,"",""
"shr-core-DocumentReference-model.commentOrDescription","","","",0,1,"","","","string {[]} {[]}
","A text note containing additional details, explanation, description, comment, or summarization.","A text note containing additional details, explanation, description, comment, or summarization.","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReference-model.commentOrDescription",0,1,"",""
"shr-core-DocumentReference-model.securityLabel","","","",0,*,"","","","Coding {[]} {[]}
","A code that connects the entry to a security policy. Security labels can be updated when the resource changes, or whenever the security sub-system chooses to.","A code that connects the entry to a security policy. Security labels can be updated when the resource changes, or whenever the security sub-system chooses to.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/security-labels","http://ncimeta.nci.nih.gov#C3858779 (security classification)
",,,,"shr-core-DocumentReference-model.securityLabel",0,*,"",""
"shr-core-DocumentReference-model.documentReferenced","","","",1,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DocumentReferenced-model {[]} {[]}
","The document referenced.","The document referenced.","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReference-model.documentReferenced",1,*,"",""
"shr-core-DocumentReference-model.eventContext","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EventContext-model {[]} {[]}
","Clinical context or event being documented, for example, a colonoscopy or an appendectomy.","Clinical context or event being documented, for example, a colonoscopy or an appendectomy.","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReference-model.eventContext",0,1,"",""
