"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-ResearchStudy-model","","","",0,*,"","","","","","A clinical trial or similar research study. Reference: list of FDA data elements describing a research study: prsinfo.clinicaltrials.gov/definitions.html","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model",0,*,"",""
"shr-core-ResearchStudy-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.metadata",0,1,"",""
"shr-core-ResearchStudy-model.contactDetail","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ContactDetail-model {[]} {[]}
","Describes an individual and how to reach them.","Describes an individual and how to reach them.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.contactDetail",0,*,"",""
"shr-core-ResearchStudy-model.relatedArtifact","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedArtifact-model {[]} {[]}
","Items such as additional documentation, justification, or bibliographic references, that provide background for the current item.","Items such as additional documentation, justification, or bibliographic references, that provide background for the current item.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.relatedArtifact",0,*,"",""
"shr-core-ResearchStudy-model.keyword","","","",0,*,"","","","Coding {[]} {[]}
","Key terms to aid in searching for or filtering the study.","Key terms to aid in searching for or filtering the study.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.keyword",0,*,"",""
"shr-core-ResearchStudy-model.jurisdiction","","","",0,*,"","","","Coding {[]} {[]}
","The country, state or other region taking legal responsibility.","The country, state or other region taking legal responsibility.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/jurisdiction","",,,,"shr-core-ResearchStudy-model.jurisdiction",0,*,"",""
"shr-core-ResearchStudy-model.descriptionMarkdown","","","",0,1,"","","","markdown {[]} {[]}
","A description of the purpose of the item.","A description of the purpose of the item.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.descriptionMarkdown",0,1,"",""
"shr-core-ResearchStudy-model.enrollment","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Group-model]]}
","Description of the group or groups enrolled or qualified to be enrolled in the study.","Description of the group or groups enrolled or qualified to be enrolled in the study.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0441833
http://ncimeta.nci.nih.gov#C4041024",,,,"shr-core-ResearchStudy-model.enrollment",0,*,"",""
"shr-core-ResearchStudy-model.effectiveTimePeriod","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EffectiveTimePeriod-model {[]} {[]}
","The date and time span for which something is active, valid, or in force.","The date and time span for which something is active, valid, or in force.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C2985763
",,,,"shr-core-ResearchStudy-model.effectiveTimePeriod",0,1,"",""
"shr-core-ResearchStudy-model.sponsor","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}
","The organization responsible for the execution of the study.","The organization responsible for the execution of the study.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.sponsor",0,1,"",""
"shr-core-ResearchStudy-model.principalInvestigator","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model]]}
","Indicates the individual who has primary oversite of the execution of the study.","Indicates the individual who has primary oversite of the execution of the study.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C2220264
",,,,"shr-core-ResearchStudy-model.principalInvestigator",0,1,"",""
"shr-core-ResearchStudy-model.location","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Location-model {[]} {[]}
","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.location",0,*,"",""
"shr-core-ResearchStudy-model.terminationReason","","","",0,1,"","","","Coding {[]} {[]}
","A code explaining unplanned or premature termination of a plan of treatment, course of medication, or research study.","A code explaining unplanned or premature termination of a plan of treatment, course of medication, or research study.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.terminationReason",0,1,"",""
"shr-core-ResearchStudy-model.annotation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Annotation-model {[]} {[]}
","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.annotation",0,*,"",""
"shr-core-ResearchStudy-model.studyArm","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-StudyArm-model {[]} {[]}
","Arm refers to pre-specified group or subgroup of participant(s) in a clinical trial assigned to receive specific intervention(s) (or no intervention) according to a protocol.","Arm refers to pre-specified group or subgroup of participant(s) in a clinical trial assigned to receive specific intervention(s) (or no intervention) according to a protocol.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.studyArm",0,*,"",""
"shr-core-ResearchStudy-model.studyObjective","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-StudyObjective-model {[]} {[]}
","A goal that the study is aiming to achieve in terms of a scientific question to be answered by the analysis of data collected during the study.","A goal that the study is aiming to achieve in terms of a scientific question to be answered by the analysis of data collected during the study.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.studyObjective",0,*,"",""
