"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-RelatedPerson-model","","","",0,*,"","","","","","A person in a role defined in relationship to a patient","","","","","","","","","",,,,,"",,,,"shr-core-RelatedPerson-model",0,*,"",""
"shr-core-RelatedPerson-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-RelatedPerson-model.metadata",0,1,"",""
"shr-core-RelatedPerson-model.person.photographicImage","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-PhotographicImage-model {[]} {[]}
","An attachment of a photographic type. The mime type should be either bmp, gif, jpeg, png, svg, or tiff.","An attachment of a photographic type. The mime type should be either bmp, gif, jpeg, png, svg, or tiff.","","","","","","","","","",,,,,"http://loinc.org#72170-4 (Photographic image	[Attachment])
",,,,"shr-core-RelatedPerson-model.person.photographicImage",0,*,"",""
"shr-core-RelatedPerson-model.person.contactPoint","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ContactPoint-model {[]} {[]}
","An electronic means of contacting an organization or individual.","An electronic means of contacting an organization or individual.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C2986441
",,,,"shr-core-RelatedPerson-model.person.contactPoint",0,*,"",""
"shr-core-RelatedPerson-model.person.communication","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Communication-model {[]} {[]}
","Language used for communication by a human, either the subject of record, parent, or other involved person.","Language used for communication by a human, either the subject of record, parent, or other involved person.","","","","","","","","","",,,,,"",,,,"shr-core-RelatedPerson-model.person.communication",0,*,"",""
"shr-core-RelatedPerson-model.person.maritalStatus","","","",0,1,"","","","Coding {[]} {[]}
","The most recent marital status of a person.","The most recent marital status of a person.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/marital-status","http://ncimeta.nci.nih.gov#C0024819
",,,,"shr-core-RelatedPerson-model.person.maritalStatus",0,1,"",""
"shr-core-RelatedPerson-model.person.multipleBirth[x]","","","",0,1,"","","","boolean {[]} {[]}
integer {[]} {[]}","If the person was part of a multiple birth event, and if so in which order.","If the person was part of a multiple birth event, and if so in which order.","","","","","","","","","",,,,,"",,,,"shr-core-RelatedPerson-model.person.multipleBirth[x]",0,1,"",""
"shr-core-RelatedPerson-model.person.birthSex","","","",0,1,"","","","Coding {[]} {[]}
","Administrative sex assigned at birth and recorded on birth certificate.","Administrative sex assigned at birth and recorded on birth certificate.","","","","","","","","","",,"required","","http://hl7.org/fhir/us/core/ValueSet/us-core-birthsex","http://ncimeta.nci.nih.gov#C4086849
",,,,"shr-core-RelatedPerson-model.person.birthSex",0,1,"",""
"shr-core-RelatedPerson-model.person.race","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Race-model {[]} {[]}
","Subjective association of a person with a named category of humans sharing common history, traits, place of family origin, nationality, tribe, or other inherited background.","Subjective association of a person with a named category of humans sharing common history, traits, place of family origin, nationality, tribe, or other inherited background.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0034510
",,,,"shr-core-RelatedPerson-model.person.race",0,1,"",""
"shr-core-RelatedPerson-model.person.ethnicity","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Ethnicity-model {[]} {[]}
","Indicator of Hispanic or Latino origin.","Indicator of Hispanic or Latino origin.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0015031
",,,,"shr-core-RelatedPerson-model.person.ethnicity",0,1,"",""
"shr-core-RelatedPerson-model.person.deceased[x]","","","",0,1,"","","","boolean {[]} {[]}
dateTime {[]} {[]}","An indication that the person is no longer living, given by a date of death, or boolean value. The latter, when true, indicates the person is deceased.","An indication that the person is no longer living, given by a date of death, or boolean value. The latter, when true, indicates the person is deceased.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0011065
",,,,"shr-core-RelatedPerson-model.person.deceased[x]",0,1,"",""
"shr-core-RelatedPerson-model.relationshipToPatient","","","",0,1,"","","","Coding {[]} {[]}
","The relationship to the person of record.","The relationship to the person of record.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/relatedperson-relationshiptype","http://ncimeta.nci.nih.gov#C0015608
",,,,"shr-core-RelatedPerson-model.relationshipToPatient",0,1,"",""
"shr-core-RelatedPerson-model.effectiveTimePeriod","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EffectiveTimePeriod-model {[]} {[]}
","The date and time span for which something is active, valid, or in force.","The date and time span for which something is active, valid, or in force.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C2985763
",,,,"shr-core-RelatedPerson-model.effectiveTimePeriod",0,1,"",""
