"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-ReferralRequest-model","","","",0,*,"","","","","","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model",0,*,"",""
"shr-core-ReferralRequest-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.metadata",0,1,"",""
"shr-core-ReferralRequest-model.expectedPerformanceTime[x]","","","",0,1,"","","","dateTime {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Timing-model {[]} {[]}","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.expectedPerformanceTime[x]",0,1,"",""
"shr-core-ReferralRequest-model.expectedPerformerType","","","",0,1,"","","","Coding {[]} {[]}
","What type of party should carry out the testing.","What type of party should carry out the testing.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.expectedPerformerType",0,1,"",""
"shr-core-ReferralRequest-model.recipient[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model]]}
","Who this request is being addressed to.","Who this request is being addressed to.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.recipient[x]",0,1,"",""
"shr-core-ReferralRequest-model.priorityCode[x]","","","",0,1,"","","","positiveInt {[]} {[]}
Coding {[]} {[]}","An indication of the importance of an action relative to other actions.","An indication of the importance of an action relative to other actions.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0549179
","type:$this}
","",,"open","shr-core-ReferralRequest-model.priorityCode[x]",0,1,"",""
"shr-core-ReferralRequest-model.priorityCodeCoding","codeableConcept","","",1,1,"","","","Coding {[]} {[]}
","PositiveInt or code representing an indication of the importance of an action relative to other actions.","PositiveInt or code representing an indication of the importance of an action relative to other actions.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/request-priority","",,,,"shr-core-ReferralRequest-model.priorityCodeCoding",1,1,"",""
"shr-core-ReferralRequest-model.annotation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Annotation-model {[]} {[]}
","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.annotation",0,*,"",""
"shr-core-ReferralRequest-model.communicationMethod","","","",0,1,"","","","Coding {[]} {[]}
","This is the method the provider used to communicate. Examples include: Written, Telephoned, Verbal, Electronically Entered, Policy, Service Correction, Duplicate, etc. 'Code indicating the origin of the prescription.' - NCPDP Telecommunication (Field 419-DJ, Data Dictionary 201104). Possible values include: Written; Telephone; Electronic; Facsimile; Pharmacy; Not Known.","This is the method the provider used to communicate. Examples include: Written, Telephoned, Verbal, Electronically Entered, Policy, Service Correction, Duplicate, etc. 'Code indicating the origin of the prescription.' - NCPDP Telecommunication (Field 419-DJ, Data Dictionary 201104). Possible values include: Written; Telephone; Electronic; Facsimile; Pharmacy; Not Known.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.communicationMethod",0,1,"",""
"shr-core-ReferralRequest-model.referralRequester[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model]]}
","The person or organization originating this referral","The person or organization originating this referral","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.referralRequester[x]",0,1,"",""
"shr-core-ReferralRequest-model.replaces","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferralRequest-model]]}
","Request(s) replaced by this request","Request(s) replaced by this request","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.replaces",0,*,"",""
"shr-core-ReferralRequest-model.referralRecipient[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}
","The practitioner or organization receiving the referral.","The practitioner or organization receiving the referral.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.referralRecipient[x]",0,*,"",""
"shr-core-ReferralRequest-model.serviceType","","","",0,*,"","","","Coding {[]} {[]}
","A service requested or to be performed during this appointment","A service requested or to be performed during this appointment","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/service-type","",,,,"shr-core-ReferralRequest-model.serviceType",0,*,"",""
"shr-core-ReferralRequest-model.commentOrDescription","","","",0,1,"","","","string {[]} {[]}
","A text note containing additional details, explanation, description, comment, or summarization.","A text note containing additional details, explanation, description, comment, or summarization.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0947611
",,,,"shr-core-ReferralRequest-model.commentOrDescription",0,1,"",""
"shr-core-ReferralRequest-model.relatedInformation","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DomainResource-model]]}
","Additional information to support referral or transfer of care request","Additional information to support referral or transfer of care request","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.relatedInformation",0,*,"",""
