"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"odh-PastOrPresentJob-model","","","",0,*,"","","","","","Related data elements for a current or previous job, as reported by the person, i.e., a work situation or position held for a specified time period. A person can have more than one job at the same time and multiple jobs over time, so the data related to each job must remain in the record in perpetuity. Each job should be recorded in a separate instance of PastOrPresentJob. A person’s job can be a social determinant of their health and information about a person’s job can support patient care, population health, and public health. In patient care, knowledge of a person’s past or present job(s) can impact recognition, diagnosis, management, and treatment of injuries and illnesses. These data also can be used for clinical decision support and to prompt discussion of preventive care measures. For example, a record of jobs that require prolonged time in the sun might prompt a health care provider to inquire if the person wears protective clothing or sunscreen while working. At a minimum, it is important to have a record of a person’s current job(s); i.e., the job(s) in which a person is engaged at the time that he or she presents to a health care provider, regardless of duration, and to retain that information over time. In the event a person recently stopped working (e.g. retired without another job, became unemployed or disabled and unable to work), the most recent job(s) is used instead of the current job(s).","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model",0,*,"",""
"odh-PastOrPresentJob-model.code.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","If this coding was chosen directly by the user","Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"",""
"odh-PastOrPresentJob-model.observationBasedOn[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-MedicationRequest-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ServiceRequest-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ProcedureRequest-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ReferralRequest-model]]}
","A plan, proposal or order that is fulfilled in whole or in part by this event. For example, a MedicationRequest may require a patient to have laboratory test performed before it is dispensed.","A plan, proposal or order that is fulfilled in whole or in part by this event. For example, a MedicationRequest may require a patient to have laboratory test performed before it is dispensed.","","","","","","","","","",,,,,"","type:$this}
","",,"open","odh-PastOrPresentJob-model.observationBasedOn[x]",0,*,"",""
"odh-PastOrPresentJob-model.observationBasedOnShr-core-MedicationRequest-model","MedicationRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-MedicationRequest-model]]}
","An order for a medication to be dispensed and instructions for use.","An order for a medication to be dispensed and instructions for use.
Value sets for status are in direct conflict between DSTU2 Argonaut and STU3 US-Core.
Category does not exist in DSTU2 and is provided as an extension.
Intent was added in STU3 and is provided as an extension with required binding.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.observationBasedOn[x]",0,*,"",""
"odh-PastOrPresentJob-model.observationBasedOnShr-core-ServiceRequest-model","ServiceRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ServiceRequest-model]]}
","A record of a request for service such as diagnostic investigations, treatments, or operations to be performed.","A record of a request for service such as diagnostic investigations, treatments, or operations to be performed.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.observationBasedOn[x]",0,*,"",""
"odh-PastOrPresentJob-model.observationBasedOnShr-core-ProcedureRequest-model","ProcedureRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ProcedureRequest-model]]}
","A request for a procedure to be performed. May be a proposal or an order.","A request for a procedure to be performed. May be a proposal or an order.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.observationBasedOn[x]",0,*,"",""
"odh-PastOrPresentJob-model.observationBasedOnShr-core-ReferralRequest-model","ReferralRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ReferralRequest-model]]}
","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.observationBasedOn[x]",0,*,"",""
"odh-PastOrPresentJob-model.observationPartOf[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-MedicationAdministration-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-MedicationDispense-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-MedicationStatement-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Procedure-model]]}
","A larger event of which this particular Observation is a component or step. For example, an observation as part of a procedure.","A larger event of which this particular Observation is a component or step. For example, an observation as part of a procedure.","","","","","","","","","",,,,,"","type:$this}
","",,"open","odh-PastOrPresentJob-model.observationPartOf[x]",0,*,"",""
"odh-PastOrPresentJob-model.observationPartOfShr-core-MedicationAdministration-model","MedicationAdministration","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-MedicationAdministration-model]]}
","A record of the use of a medication. If the medication is given as part of a course of treatment, the PartOf attribute should refer to the CourseOfTreatment.","A record of the use of a medication. If the medication is given as part of a course of treatment, the PartOf attribute should refer to the CourseOfTreatment.
Although FHIR MedicationAdministration supports date of administration, information source, performer, it lacks common provenance elements, statement creation date, author, and recorder. These are supported as optional extensions.
FHIR DSTU2 lacks a category attribute, which is provided as an extension in that version.
SHR does not allow the 'not given' attributes from DSTU2 and STU3, since they are dropped in R4. The status element is used to document medications not given.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.observationPartOf[x]",0,*,"",""
"odh-PastOrPresentJob-model.observationPartOfShr-core-MedicationDispense-model","MedicationDispense","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-MedicationDispense-model]]}
","Indicates that a medication product has been dispensed for a named person/patient. This includes a description of the medication product (supply) provided and the instructions for administering the medication. The medication dispense is the result of a pharmacy system responding to a medication order.","Indicates that a medication product has been dispensed for a named person/patient. This includes a description of the medication product (supply) provided and the instructions for administering the medication. The medication dispense is the result of a pharmacy system responding to a medication order.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.observationPartOf[x]",0,*,"",""
"odh-PastOrPresentJob-model.observationPartOfShr-core-MedicationStatement-model","MedicationStatement","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-MedicationStatement-model]]}
","A record of the use of a medication. The use may be reported by the patient or clinician and adminstration does not have to be directly observed.","A record of the use of a medication. The use may be reported by the patient or clinician and adminstration does not have to be directly observed.

FHIR Notes:

Although FHIR supports the asserter (information source) and date asserted, it does not have a place for the author (who created and is responsible for the statement) and recorder (who entered the statement). Extensions are provided.

The treatment of 'not taken' has changed from DSTU2 and STU3 to R4. In R4, status and statusReason are used to indicate medications not taken. For upward compatibility, the 'not taken' attributes are profiled out.
ReasonCode is a choice of CodeableConcept or ref(Condition) in DSTU2, and limited to one reason (pick a type). In STU3 and R4, there can be multiple reason codes, and multiple reason references, simultaneously.

Preference is given to using the National Library of Medicine (NLM) RxNorm terminology for medications. RxNorm is a coding standard established by the Office of the National Coordinator (ONC). However, RxNorm is restricted to FDA-approved drugs and does not include clinical trial drugs. MedicationStatement allows for the inclusion of other coding systems like the NCI Thesaurus (NCIT) to represent clinical trial oncology drugs.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.observationPartOf[x]",0,*,"",""
"odh-PastOrPresentJob-model.observationPartOfShr-core-Procedure-model","Procedure","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Procedure-model]]}
","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.observationPartOf[x]",0,*,"",""
"odh-PastOrPresentJob-model.category","","","",0,1,"","","","Coding {[]} {[]}
","The general type or class of this item.","The general type or class of this item.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.category",0,1,"",""
"odh-PastOrPresentJob-model.category.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"odh-PastOrPresentJob-model.category.extension","","","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"",""
"odh-PastOrPresentJob-model.category.system","","","",1,1,"","","Y","uri {[]} {[]}
","Identity of the terminology system","The identification of the code system that defines the meaning of the symbol in the code.","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should de-reference to some definition that establish the system clearly and unambiguously.","Need to be unambiguous about the source of the definition of the symbol.","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://hl7.org/fhir/observation-category""/>","","","","",,,,,"",,,,"Coding.system",0,1,"",""
"odh-PastOrPresentJob-model.category.version","","","",0,1,"","","Y","string {[]} {[]}
","Version of the system - if relevant","The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"",""
"odh-PastOrPresentJob-model.category.code","","","",1,1,"","","Y","code {[]} {[]}
","Symbol in syntax defined by the system","A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).","","Need to refer to a particular code in the system.","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""social-history""/>","","","","",,,,,"",,,,"Coding.code",0,1,"",""
"odh-PastOrPresentJob-model.category.display","","","",0,1,"","","Y","string {[]} {[]}
","Representation defined by the system","A representation of the meaning of the code in the system, following the rules of the system.","","Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.","","","","","","","",,,,,"",,,,"Coding.display",0,1,"",""
"odh-PastOrPresentJob-model.category.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","If this coding was chosen directly by the user","Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"",""
"odh-PastOrPresentJob-model.focalSubject","","","",0,1,"","","","Coding {[]} {[]}
","The person or entity that the information in this resource relates to, if different than the person of record. The subject of information can be a reference or a code, the latter when the subject is described generically, for example, in terms of a relationship to the subject of record (e.g., wife).","The person or entity that the information in this resource relates to, if different than the person of record. The subject of information can be a reference or a code, the latter when the subject is described generically, for example, in terms of a relationship to the subject of record (e.g., wife).","","","","","","","","","",,"required","","https://vsac.nlm.nih.gov/valueset/2.16.840.1.113883.1.11.19579/expansion","",,,,"odh-PastOrPresentJob-model.focalSubject",0,1,"",""
"odh-PastOrPresentJob-model.relevantTime","","","",1,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","The time or time period that the statement addresses.","The time or time period that the statement addresses.
The clinically relevant time is not necessarily when the information is gathered or when a test is carried out, but for example, when a specimen was collected, or the time period referred to by the question. Use a TimePeriod for a measurement or specimen collection continued over a significant period of time (e.g. 24 hour Urine Sodium).","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.relevantTime",1,1,"",""
"odh-PastOrPresentJob-model.performer[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-RelatedPerson-model]]}
","The actor that carried out the observation or action.","The actor that carried out the observation or action.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.performer[x]",0,*,"",""
"odh-PastOrPresentJob-model.dataValue","","","",0,0,"","","","Coding {[]} {[]}
","The value or result of a test, evaluation, or judgment, for example, a systolic blood pressure, or if a condition or body structure is present or absent.","The value or result of a test, evaluation, or judgment, for example, a systolic blood pressure, or if a condition or body structure is present or absent.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.dataValue",0,0,"",""
"odh-PastOrPresentJob-model.dataAbsentReason","","","",0,0,"","","","Coding {[]} {[]}
","Reason that a value associated with a test or other finding is missing.","Reason that a value associated with a test or other finding is missing.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/data-absent-reason","",,,,"odh-PastOrPresentJob-model.dataAbsentReason",0,0,"",""
"odh-PastOrPresentJob-model.interpretation","","","",0,1,"","","","Coding {[]} {[]}
","A clinical interpretation of a finding (applies to both assertions and observation).","A clinical interpretation of a finding (applies to both assertions and observation).","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/observation-interpretation","",,,,"odh-PastOrPresentJob-model.interpretation",0,1,"",""
"odh-PastOrPresentJob-model.annotation","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Annotation-model {[]} {[]}
","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.annotation",0,*,"",""
"odh-PastOrPresentJob-model.bodyLocation","","","",0,0,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-BodyLocation-model {[]} {[]}
","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.
+ Code only: The code should include (precoordinate) laterality and/orientation to the degree necessary to completely specify the body location.
+ Code plus laterality and/or orientation: The basic code augmented by codes specifying the body side and/or anatomical orientation.
+ Relation to landmark: The location relative to a landmark is specified by:
- Establishing the location and type of landmark using a body site code and optional laterality/orientation, and
- Specifying the direction and distance from the landmark to the body location.
Note that BodyLocation is a data type, a reusable structure, not a stand-alone entity. The concept is similar to how a postal address can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.bodyLocation",0,0,"",""
"odh-PastOrPresentJob-model.method","","","",0,0,"","","","Coding {[]} {[]}
","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.method",0,0,"",""
"odh-PastOrPresentJob-model.device","","","",0,0,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Device-model]]}
","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.
Device status cannot be reconciled between Argonaut and US-Core, each having different required value sets.
Device type has extensible mappings to different value sets in Argonaut and US-Core, however both value sets have identical SNOMED content (descendants of 49062001 (Device). We adopt the US-Core value set, which is allowable because the binding is extensible.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.device",0,0,"",""
"odh-PastOrPresentJob-model.referenceRange","","","",0,0,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ReferenceRange-model {[]} {[]}
","The usual or acceptable range for a test result.","The usual or acceptable range for a test result.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0883335
",,,,"odh-PastOrPresentJob-model.referenceRange",0,0,"",""
"odh-PastOrPresentJob-model.panelMembers","","","",0,0,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-PanelMembers-model {[]} {[]}
","PanelMembers represent the elements of a group of a related but independent evaluations.","PanelMembers represent the elements of a group of a related but independent evaluations.

Examples are the measurements that compose a complete blood count (CBC), or the elements of a pathology report. Each member is an independent evaluation, but the grouping reflects a composite lab order, shared specimen, or a single report author. Typically the Category and ReasonCode are not given for individual findings that are part of the panel, but rather given at the level of the panel itself.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.panelMembers",0,0,"",""
"odh-PastOrPresentJob-model.observationDerivedFrom[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-DocumentReference-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Media-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-QuestionnaireResponse-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Observation-model]]}
","The target resource that represents a measurement from which this observation value is derived. For example, a calculated anion gap or a fetal measurement based on an ultrasound image.","The target resource that represents a measurement from which this observation value is derived. For example, a calculated anion gap or a fetal measurement based on an ultrasound image.","","","","","","","","","",,,,,"","type:$this}
","",,"open","odh-PastOrPresentJob-model.observationDerivedFrom[x]",0,*,"",""
"odh-PastOrPresentJob-model.observationDerivedFromShr-core-DocumentReference-model","DocumentReference","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-DocumentReference-model]]}
","A reference to a document, used to describe a document that is made available to a healthcare system. A document is some sequence of bytes that is identifiable, establishes its own context (e.g., what subject, author, etc. can be displayed to the user), and has defined update management. The DocumentReference resource can be used with any document format that has a recognized mime type and that conforms to this definition.","A reference to a document, used to describe a document that is made available to a healthcare system. A document is some sequence of bytes that is identifiable, establishes its own context (e.g., what subject, author, etc. can be displayed to the user), and has defined update management. The DocumentReference resource can be used with any document format that has a recognized mime type and that conforms to this definition.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.observationDerivedFrom[x]",0,*,"",""
"odh-PastOrPresentJob-model.observationDerivedFromShr-core-Media-model","Media","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Media-model]]}
","A photo, video, or audio recording acquired or used in healthcare. The actual content may be inline or provided by direct reference.","A photo, video, or audio recording acquired or used in healthcare. The actual content may be inline or provided by direct reference.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.observationDerivedFrom[x]",0,*,"",""
