"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Condition-model","","","",0,*,"","","","","","A condition that is or may be present in a subject. 'Condition' is interpreted broadly and could be a disorder, abnormality, problem, injury, complaint, functionality, illness, disease, ailment, sickness, affliction, upset, difficulty, disorder, symptom, worry, or trouble.
"shr-core-Condition-model.code","","","",1,1,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/core/ValueSet/us-core-problem","",,,,"shr-core-Condition-model.code",1,1,"",""
"shr-core-Condition-model.personInformationSource[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","The person who provided the information, not necessarily the patient.","The person who provided the information, not necessarily the patient.","","","","","","","","","",,,,,"",,,,"shr-core-Condition-model.personInformationSource[x]",0,1,"",""
"shr-core-Condition-model.category","","","",1,1,"","","","Coding {[]} {[]}
","The type, kind, or class of this item.","The type, kind, or class of this item.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/us/odh/shr/core/vs/ConditionCategoryVS","",,,,"shr-core-Condition-model.category",1,1,"",""
"shr-core-Condition-model.bodyLocation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-BodyLocation-model {[]} {[]}
","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart.","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart.
The BodyLocation includes code and optional qualifiers of anatomical side or direction. The body location can also be determined from one or more body landmarks.
If the code for the body location includes laterality and/or anatomical direction, the corresponding attributes might be unnecessary.
Note that BodyLocation is a data type, a reusable structure, not a stand-alone entity. The concept is similar to how an address structure can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,,,,"",,,,"shr-core-Condition-model.bodyLocation",0,*,"",""
"shr-core-Condition-model.clinicalStatus","","","",1,1,"","","","Coding {[]} {[]}
","A flag indicating whether the condition is active or inactive, recurring, in remission, or resolved (as of the last update of the Condition).","A flag indicating whether the condition is active or inactive, recurring, in remission, or resolved (as of the last update of the Condition).","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/condition-clinical","",,,,"shr-core-Condition-model.clinicalStatus",1,1,"",""
"shr-core-Condition-model.severity","","","",0,1,"","","","Coding {[]} {[]}
","Degree of harshness or extent of a symptom, disorder, or condition.","Degree of harshness or extent of a symptom, disorder, or condition.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/condition-severity","http://ncimeta.nci.nih.gov#C0392364
",,,,"shr-core-Condition-model.severity",0,1,"",""
"shr-core-Condition-model.stageInformation","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-StageInformation-model {[]} {[]}
","The relative advancement in the course of a disease. The StageCode is the summary stage or stage group. StageDetail optionally contains the full staging information.","The relative advancement in the course of a disease. The StageCode is the summary stage or stage group. StageDetail optionally contains the full staging information.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0699749
",,,,"shr-core-Condition-model.stageInformation",0,1,"",""
"shr-core-Condition-model.onset[x]","","","",0,1,"","","","dateTime {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Age-model {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Range-model {[]} {[]}string {[]} {[]}","The beginning or first appearance of a mental or physical disorder.","The beginning or first appearance of a mental or physical disorder.","","","","","","","","","",,,,,"http://loinc.org#85585-8
",,,,"shr-core-Condition-model.onset[x]",0,1,"",""
"shr-core-Condition-model.abatement[x]","","","",0,1,"","","","dateTime {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Age-model {[]} {[]}boolean {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Range-model {[]} {[]}string {[]} {[]}","The end, remission or resolution.","The end, remission or resolution.","","","","","","","","","",,,,,"http://loinc.org#88878-4
",,,,"shr-core-Condition-model.abatement[x]",0,1,"",""
"shr-core-Condition-model.evidence","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Evidence-model {[]} {[]}
","Supporting evidence / manifestations that are the basis of the Condition's verification status, such as evidence that confirmed or refuted the condition.","Supporting evidence / manifestations that are the basis of the Condition's verification status, such as evidence that confirmed or refuted the condition.","","","","","","","","","",,,,,"",,,,"shr-core-Condition-model.evidence",0,1,"",""
"shr-core-Condition-model.dateOfDiagnosis","","","",0,1,"","","","date {[]} {[]}
","The date the disease was first clinically recognized with sufficient certainty, regardless of whether it was fully characterized at that time.","The date the disease was first clinically recognized with sufficient certainty, regardless of whether it was fully characterized at that time.","","","","","","","","","",,,,,"",,,,"shr-core-Condition-model.dateOfDiagnosis",0,1,"",""
