"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Composition-model","","","",0,*,"","","","","","A composition represents a set of Entries sharing common provenance, a document such as an extract from a patient record, a knowledge artifact, or a catalog definition.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model",0,*,"",""
"shr-core-Composition-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.metadata",0,1,"",""
"shr-core-Composition-model.attestation","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Attestation-model {[]} {[]}
","A certification or assertion of the accuracy of the content.","A certification or assertion of the accuracy of the content.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.attestation",0,*,"",""
"shr-core-Composition-model.managingOrganization","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Organization-model]]}
","The organization that manages a patient, activity, facility, document, or service provision.","The organization that manages a patient, activity, facility, document, or service provision.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.managingOrganization",0,1,"",""
"shr-core-Composition-model.relatedDocument","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-RelatedDocument-model {[]} {[]}
","Documents related to this one.","Documents related to this one.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.relatedDocument",0,*,"",""
"shr-core-Composition-model.eventContext","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-EventContext-model {[]} {[]}
","Clinical context or event being documented, for example, a colonoscopy or an appendectomy.","Clinical context or event being documented, for example, a colonoscopy or an appendectomy.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.eventContext",0,*,"",""
"shr-core-Composition-model.eventContext.careContext[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Encounter-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-EpisodeOfCare-model]]}
","The encounter or episode of care","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.eventContext.careContext[x]",0,1,"",""
"shr-core-Composition-model.eventContext.code","","","",0,*,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/v3-ActCode","",,,,"shr-core-Composition-model.eventContext.code",0,*,"",""
"shr-core-Composition-model.eventContext.timePeriod","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","A period of time defined by a start and end time, date, or year.","A period of time defined by a start and end time, date, or year.
If the start date/time is missing, the start of the period is not known. If the end date/time is missing, it means that the period is ongoing.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.eventContext.timePeriod",0,1,"",""
"shr-core-Composition-model.eventContext.facilityType","","","",0,0,"","","","Coding {[]} {[]}
","Kind of facility where patient was seen","Kind of facility where patient was seen","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/c80-facilitycodes","",,,,"shr-core-Composition-model.eventContext.facilityType",0,0,"",""
"shr-core-Composition-model.eventContext.setting","","","",0,0,"","","","Coding {[]} {[]}
","Description of the place or type of surroundings where something is positioned or where an event takes place.","Description of the place or type of surroundings where something is positioned or where an event takes place.","","","","","","","","","",,"required","","http://hl7.org/fhir/us/odh/ValueSet/shr-core-SettingVS","",,,,"shr-core-Composition-model.eventContext.setting",0,0,"",""
"shr-core-Composition-model.eventContext.patient","","","",0,0,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Patient-model]]}
","A person in the role of a patient. Sometimes, the patient is not the subject of information in a clinical statement where the Patient is the SubjectOfRecord.","A person in the role of a patient. Sometimes, the patient is not the subject of information in a clinical statement where the Patient is the SubjectOfRecord.

SHR follows Argonaut and makes the value set binding on marital status required. MaritalStatus has a required binding in Argonaut, but an extensible binding in US-Core. To be feasible under both DSTU2 Argonaut and STU3 US-Core, the required binding strength is adopted.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1299487
",,,,"shr-core-Composition-model.eventContext.patient",0,1,"",""
"shr-core-Composition-model.eventContext.supportingInformation","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-DomainResource-model]]}
","Additional information to support this request.","Additional information to support this request.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.eventContext.supportingInformation",0,*,"",""
"shr-core-Composition-model.section","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Section-model {[]} {[]}
","Represents a section containing entries in a composition.","Represents a section containing entries in a composition.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.section",0,*,"",""
