"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-MedicationAdministration-model","","","",0,*,"","","","","","A record of the use of a medication. If the medication is given as part of a course of treatment, the PartOf attribute should refer to the CourseOfTreatment.
Although FHIR MedicationAdministration supports date of administration, information source, performer, it lacks common provenance elements, statement creation date, author, and recorder. These are supported as optional extensions.
"shr-core-MedicationAdministration-model.medicationReasonReferenceShr-core-Condition-model","Condition","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Condition-model]]}
","A condition that is or may be present in a subject. 'Condition' is interpreted broadly and could be a disorder, abnormality, problem, injury, complaint, functionality, illness, disease, ailment, sickness, affliction, upset, difficulty, disorder, symptom, worry, or trouble.","A condition that is or may be present in a subject. 'Condition' is interpreted broadly and could be a disorder, abnormality, problem, injury, complaint, functionality, illness, disease, ailment, sickness, affliction, upset, difficulty, disorder, symptom, worry, or trouble.
The Observation-based class, ConditionAbsent, should be used to describe conditions that are not present or negative findings.
SHR Condition uses the SHR BodyLocation structure that includes not only a code, but optional laterality, direction, clock direction, and distance. If included, the distance is measured from the location specified by the code, laterality, and direction.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.medicationReasonReference[x]",0,*,"",""
"shr-core-MedicationAdministration-model.medicationReasonReferenceShr-core-Observation-model","Observation","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Observation-model]]}
","Represents the result of evaluations (measurements, tests, or questions) that have been performed.","Represents the result of evaluations (measurements, tests, or questions) that have been performed.
Observation has a value representing the result (answer), or an DataAbsentReason indicating why the value is not present. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.
For an Observation, the Code describes the aspect or property of the subject being observed or measured. The Code is the 'question code' that pairs to the 'answer' contained in the Value.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.medicationReasonReference[x]",0,*,"",""
"shr-core-MedicationAdministration-model.medicationReasonReferenceShr-core-DiagnosticReport-model","DiagnosticReport","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-DiagnosticReport-model]]}
","DiagnosticReport","DiagnosticReport","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.medicationReasonReference[x]",0,*,"",""
"shr-core-MedicationAdministration-model.medicationAdministrationBasedOn","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-MedicationRequest-model]]}
","The original request, instruction or authority to perform the administration.","The original request, instruction or authority to perform the administration.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.medicationAdministrationBasedOn",0,1,"",""
"shr-core-MedicationAdministration-model.occurrenceTimeOrPeriod[x]","","","",1,1,"","","","date {[]} {[]}
dateTime {[]} {[]}http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}","The point or period of time when the event takes place. Times can be precise (dateTime) or approximate (date). If a time period is used, and the start date or dateTime is missing, the start of the period is not known. If the end date or dateTime is missing, it means that the period is ongoing.","The point or period of time when the event takes place. Times can be precise (dateTime) or approximate (date). If a time period is used, and the start date or dateTime is missing, the start of the period is not known. If the end date or dateTime is missing, it means that the period is ongoing.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.occurrenceTimeOrPeriod[x]",1,1,"",""
"shr-core-MedicationAdministration-model.participation","","","",0,1,"","","","BackboneElement {[]} {[]}
","Record of someone or something involvement in an activity or event.","Record of someone or something involvement in an activity or event.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.participation",0,1,"",""
"shr-core-MedicationAdministration-model.participation.personParticipant[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-RelatedPerson-model]]}
","A choice of Patient, Practitioner and RelatedPerson as participant.","A choice of Patient, Practitioner and RelatedPerson as participant.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.participation.personParticipant[x]",0,1,"",""
"shr-core-MedicationAdministration-model.participation.participationType","","","",0,1,"","","","Coding {[]} {[]}
","The role played by the participant engaged in the action, for example, as the attending physician, surgical assistant, etc.","The role played by the participant engaged in the action, for example, as the attending physician, surgical assistant, etc.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/performer-role","",,,,"shr-core-MedicationAdministration-model.participation.participationType",0,1,"",""
"shr-core-MedicationAdministration-model.participation.participationPeriod","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","The point in time or span of time the participant is involved.","The point in time or span of time the participant is involved.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.participation.participationPeriod",0,1,"",""
"shr-core-MedicationAdministration-model.participation.onBehalfOf[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Device-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Organization-model]]}
","The party represented by the actual participant.","The party represented by the actual participant.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.participation.onBehalfOf[x]",0,1,"",""
"shr-core-MedicationAdministration-model.method","","","",0,0,"","","","Coding {[]} {[]}
","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.method",0,0,"",""
"shr-core-MedicationAdministration-model.medicationCodeOrReference[x]","","","",1,1,"","","","Coding {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Medication-model]]}","A choice of a medication code or reference.","A choice of a medication code or reference.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-MedicationAdministration-model.medicationCodeOrReference[x]",1,1,"",""
"shr-core-MedicationAdministration-model.medicationCodeOrReferenceCoding","CodeableConcept","","",1,1,"","","","Coding {[]} {[]}
","A set of codes drawn from different coding systems, representing the same concept.","A set of codes drawn from different coding systems, representing the same concept.","","","","","","","","","",,"extensible","","http://h7.org/fhir/us/core/ValueSet/us-core-medication-codes","",,,,"shr-core-MedicationAdministration-model.medicationCodeOrReference[x]",1,1,"",""
"shr-core-MedicationAdministration-model.dosage","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Dosage-model {[]} {[]}
","The dosage of the medication. The data structure is flexible and can describe a dosage prescribed, administered, or reported.","The dosage of the medication. The data structure is flexible and can describe a dosage prescribed, administered, or reported.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.dosage",0,1,"",""
"shr-core-MedicationAdministration-model.dosage.doseSequenceNumber","","","",0,1,"","","","integer {[]} {[]}
","Dose number within series.","Dose number within series.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.dosage.doseSequenceNumber",0,1,"",""
"shr-core-MedicationAdministration-model.dosage.instructionText","","","",0,1,"","","","string {[]} {[]}
","The directions (signetur) on the drug prescription or dispensing record.","The directions (signetur) on the drug prescription or dispensing record.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.dosage.instructionText",0,1,"",""
"shr-core-MedicationAdministration-model.dosage.instructionCode","","","",0,0,"","","","Coding {[]} {[]}
","Coded instructions, e.g., 'with meals'.","Coded instructions, e.g., 'with meals'.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/additional-instruction-codes","",,,,"shr-core-MedicationAdministration-model.dosage.instructionCode",0,0,"",""
"shr-core-MedicationAdministration-model.dosage.patientInstruction","","","",0,0,"","","","string {[]} {[]}
","Patient or consumer-oriented instructions.","Patient or consumer-oriented instructions.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.dosage.patientInstruction",0,0,"",""
"shr-core-MedicationAdministration-model.dosage.timing","","","",0,0,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Timing-model {[]} {[]}
","A timing schedule that specifies an event that may occur multiple times.","A timing schedule that specifies an event that may occur multiple times.
Timing offers a choice of multiple OccurrenceTime (used is used to specify specific times), or recurrence patterns.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.dosage.timing",0,1,"",""
"shr-core-MedicationAdministration-model.dosage.asNeeded[x]","","","",0,0,"","","","boolean {[]} {[]}
Coding {[]} {[]}","Preconditions for service, either 'true' indicating to be performed if needed, or a code indicating the pre-condition for performing the service. For example 'pain', 'on flare-up', etc.","Preconditions for service, either 'true' indicating to be performed if needed, or a code indicating the pre-condition for performing the service. For example 'pain', 'on flare-up', etc.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.dosage.asNeeded[x]",0,0,"",""
"shr-core-MedicationAdministration-model.dosage.administrationSite","","","",0,1,"","","","Coding {[]} {[]}
","The anatomic site at which the medication applied.","The anatomic site at which the medication applied.","","","","","","","","","",,"example","","http://hl7.org/fhir/us/odh/ValueSet/shr-core-BodyLocationVS","",,,,"shr-core-MedicationAdministration-model.dosage.administrationSite",0,1,"",""
"shr-core-MedicationAdministration-model.dosage.routeIntoBody","","","",0,1,"","","","Coding {[]} {[]}
","The way a substance enters an organism after contact, particularly, the route of drug administration.","The way a substance enters an organism after contact, particularly, the route of drug administration.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/route-codes","http://ncimeta.nci.nih.gov#C0013153
",,,,"shr-core-MedicationAdministration-model.dosage.routeIntoBody",0,1,"",""
"shr-core-MedicationAdministration-model.dosage.method","","","",0,1,"","","","Coding {[]} {[]}
","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/administration-method-codes","",,,,"shr-core-MedicationAdministration-model.dosage.method",0,1,"",""
"shr-core-MedicationAdministration-model.dosage.doseAndRate","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-DoseAndRate-model {[]} {[]}
","The amount of medication administered.","The amount of medication administered.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.dosage.doseAndRate",0,1,"",""
"shr-core-MedicationAdministration-model.dosage.maxDosePerPeriod","","","",0,0,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Ratio-model {[]} {[]}
","The maximum amount of a medication to be taken in a given period of time (e.g., no more than x in any 24-hour period)","The maximum amount of a medication to be taken in a given period of time (e.g., no more than x in any 24-hour period)","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.dosage.maxDosePerPeriod",0,0,"",""
"shr-core-MedicationAdministration-model.dosage.maxDosePerAdministration","","","",0,0,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-SimpleQuantity-model {[]} {[]}
","Upper limit on medication per administration.","Upper limit on medication per administration.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.dosage.maxDosePerAdministration",0,0,"",""
"shr-core-MedicationAdministration-model.dosage.maxDosePerLifetime","","","",0,0,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-SimpleQuantity-model {[]} {[]}
","Upper limit on medication per lifetime of the patient.","Upper limit on medication per lifetime of the patient.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.dosage.maxDosePerLifetime",0,0,"",""
"shr-core-MedicationAdministration-model.medicationAdministrationPartOf[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-MedicationAdministration-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Procedure-model]]}
","A larger event of which this particular event is a component or step.","A larger event of which this particular event is a component or step.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-MedicationAdministration-model.medicationAdministrationPartOf[x]",0,*,"",""
"shr-core-MedicationAdministration-model.medicationAdministrationPartOfShr-core-MedicationAdministration-model","MedicationAdministration","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-MedicationAdministration-model]]}
","A record of the use of a medication. If the medication is given as part of a course of treatment, the PartOf attribute should refer to the CourseOfTreatment.","A record of the use of a medication. If the medication is given as part of a course of treatment, the PartOf attribute should refer to the CourseOfTreatment.
Although FHIR MedicationAdministration supports date of administration, information source, performer, it lacks common provenance elements, statement creation date, author, and recorder. These are supported as optional extensions.
FHIR DSTU2 lacks a category attribute, which is provided as an extension in that version.
SHR does not allow the 'not given' attributes from DSTU2 and STU3, since they are dropped in R4. The status element is used to document medications not given.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.medicationAdministrationPartOf[x]",0,*,"",""
"shr-core-MedicationAdministration-model.medicationAdministrationPartOfShr-core-Procedure-model","Procedure","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Procedure-model]]}
","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.medicationAdministrationPartOf[x]",0,*,"",""
"shr-core-MedicationAdministration-model.category","","","",0,1,"","","","Coding {[]} {[]}
","The general type or class of this item.","The general type or class of this item.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/medication-admin-category","",,,,"shr-core-MedicationAdministration-model.category",0,1,"",""
"shr-core-MedicationAdministration-model.supportingInformation","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-DomainResource-model]]}
","Additional information to support this request.","Additional information to support this request.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.supportingInformation",0,*,"",""
"shr-core-MedicationAdministration-model.device","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Device-model]]}
","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.
Device status cannot be reconciled between Argonaut and US-Core, each having different required value sets.
Device type has extensible mappings to different value sets in Argonaut and US-Core, however both value sets have identical SNOMED content (descendants of 49062001 (Device). We adopt the US-Core value set, which is allowable because the binding is extensible.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.device",0,*,"",""
"shr-core-MedicationAdministration-model.annotation","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Annotation-model {[]} {[]}
","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.annotation",0,*,"",""
