"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-ReferralRequest-model","","","",0,*,"","","","","","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model",0,*,"",""
"shr-core-ReferralRequest-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.metadata",0,1,"",""
"shr-core-ReferralRequest-model.referralReasonReferenceShr-core-Observation-model","Observation","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Observation-model]]}
","Represents the result of evaluations (measurements, tests, or questions) that have been performed.","Represents the result of evaluations (measurements, tests, or questions) that have been performed.
Observation has a value representing the result (answer), or an DataAbsentReason indicating why the value is not present. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.
For an Observation, the Code describes the aspect or property of the subject being observed or measured. The Code is the 'question code' that pairs to the 'answer' contained in the Value.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.referralReasonReference[x]",0,1,"",""
"shr-core-ReferralRequest-model.serviceBasedOn[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ServiceRequest-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ReferralRequest-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ProcedureRequest-model]]}
","The original or initiating plan, proposal, or request.","The original or initiating plan, proposal, or request.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-ReferralRequest-model.serviceBasedOn[x]",0,*,"",""
"shr-core-ReferralRequest-model.serviceBasedOnShr-core-ServiceRequest-model","ServiceRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ServiceRequest-model]]}
","A record of a request for service such as diagnostic investigations, treatments, or operations to be performed.","A record of a request for service such as diagnostic investigations, treatments, or operations to be performed.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.serviceBasedOn[x]",0,*,"",""
"shr-core-ReferralRequest-model.serviceBasedOnShr-core-ReferralRequest-model","ReferralRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ReferralRequest-model]]}
","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.serviceBasedOn[x]",0,*,"",""
"shr-core-ReferralRequest-model.serviceBasedOnShr-core-ProcedureRequest-model","ProcedureRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ProcedureRequest-model]]}
","A request for a procedure to be performed. May be a proposal or an order.","A request for a procedure to be performed. May be a proposal or an order.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.serviceBasedOn[x]",0,*,"",""
"shr-core-ReferralRequest-model.code","","","",1,1,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.code",1,1,"",""
"shr-core-ReferralRequest-model.category","","","",0,*,"","","","Coding {[]} {[]}
","The general type or class of this item.","The general type or class of this item.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.category",0,*,"",""
"shr-core-ReferralRequest-model.referralRequester[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Device-model]]}
","The person or organization originating this referral","The person or organization originating this referral","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.referralRequester[x]",0,1,"",""
"shr-core-ReferralRequest-model.requestIntent","","","",1,1,"","","","Coding {[]} {[]}
","Indicates the level of authority/intentionality associated with the request and where the request fits into the workflow chain.","Indicates the level of authority/intentionality associated with the request and where the request fits into the workflow chain.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/request-intent","",,,,"shr-core-ReferralRequest-model.requestIntent",1,1,"",""
"shr-core-ReferralRequest-model.expectedPerformanceTime[x]","","","",0,1,"","","","dateTime {[]} {[]}
http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Timing-model {[]} {[]}","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.expectedPerformanceTime[x]",0,1,"",""
"shr-core-ReferralRequest-model.expectedPerformerType","","","",0,1,"","","","Coding {[]} {[]}
","What type of party should carry out the testing.","What type of party should carry out the testing.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.expectedPerformerType",0,1,"",""
"shr-core-ReferralRequest-model.referralRecipient[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Organization-model]]}
","The practitioner or organization receiving the referral.","The practitioner or organization receiving the referral.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.referralRecipient[x]",0,1,"",""
"shr-core-ReferralRequest-model.priorityCode[x]","","","",0,1,"","","","positiveInt {[]} {[]}
Coding {[]} {[]}","An indication of the importance of an action relative to other actions.","An indication of the importance of an action relative to other actions.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.priorityCode[x]",0,1,"",""
"shr-core-ReferralRequest-model.annotation","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Annotation-model {[]} {[]}
","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.annotation",0,*,"",""
"shr-core-ReferralRequest-model.replaces","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ReferralRequest-model]]}
","Request(s) replaced by this request","Request(s) replaced by this request","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.replaces",0,*,"",""
"shr-core-ReferralRequest-model.groupIdentifier","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","A shared identifier common to all service requests that were authorized more or less simultaneously by a single author, representing the composite or group identifier.","A shared identifier common to all service requests that were authorized more or less simultaneously by a single author, representing the composite or group identifier.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.groupIdentifier",0,1,"",""
"shr-core-ReferralRequest-model.doNotPerform","","","",0,1,"","","","boolean {[]} {[]}
","A flag, when set to true, indicates that the service/procedure should NOT be performed.","A flag, when set to true, indicates that the service/procedure should NOT be performed.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.doNotPerform",0,1,"",""
"shr-core-ReferralRequest-model.serviceDetails","","","",0,*,"","","","Coding {[]} {[]}
","A service requested or performed. Additional details and instructions about the service requested or performed. For example, and order for a urinary catheter may have an order detail for an external or indwelling catheter, or an order for a bandage may require additional instructions specifying how the bandage should be applied.","A service requested or performed. Additional details and instructions about the service requested or performed. For example, and order for a urinary catheter may have an order detail for an external or indwelling catheter, or an order for a bandage may require additional instructions specifying how the bandage should be applied.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/service-type","",,,,"shr-core-ReferralRequest-model.serviceDetails",0,*,"",""
"shr-core-ReferralRequest-model.requestQuantity[x]","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Quantity-model {[]} {[]}
http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Ratio-model {[]} {[]}http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Range-model {[]} {[]}","An amount of service being requested which can be a quantity ( for example $1,500 home modification), a ratio ( for example, 20 half day visits per month), or a range (2.0 to 1.8 Gy per fraction).","An amount of service being requested which can be a quantity ( for example $1,500 home modification), a ratio ( for example, 20 half day visits per month), or a range (2.0 to 1.8 Gy per fraction).","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.requestQuantity[x]",0,1,"",""
"shr-core-ReferralRequest-model.referralRequestSubjectOfRecord[x]","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Group-model]]}
","Subject of record types allowed for referrals","Subject of record types allowed for referrals","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.referralRequestSubjectOfRecord[x]",1,1,"",""
"shr-core-ReferralRequest-model.asNeeded[x]","","","",0,1,"","","","boolean {[]} {[]}
Coding {[]} {[]}","Preconditions for service, either 'true' indicating to be performed if needed, or a code indicating the pre-condition for performing the service. For example 'pain', 'on flare-up', etc.","Preconditions for service, either 'true' indicating to be performed if needed, or a code indicating the pre-condition for performing the service. For example 'pain', 'on flare-up', etc.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.asNeeded[x]",0,1,"",""
"shr-core-ReferralRequest-model.location","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Location-model]]}
","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.location",0,*,"",""
"shr-core-ReferralRequest-model.locationType","","","",0,*,"","","","Coding {[]} {[]}
","The preferred type of location(s) where the service should happen, in coded or free text form, e.g. at home or nursing day care center.","The preferred type of location(s) where the service should happen, in coded or free text form, e.g. at home or nursing day care center.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.locationType",0,*,"",""
"shr-core-ReferralRequest-model.insurance","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Coverage-model]]}
","Insurance plans, coverage extensions, pre-authorizations and/or pre-determinations that may be needed for delivering the requested service.","Insurance plans, coverage extensions, pre-authorizations and/or pre-determinations that may be needed for delivering the requested service.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0021682 (HealthInsurance)
",,,,"shr-core-ReferralRequest-model.insurance",0,*,"",""
"shr-core-ReferralRequest-model.supportingInformation","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-DomainResource-model]]}
","Additional information to support this request.","Additional information to support this request.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.supportingInformation",0,*,"",""
"shr-core-ReferralRequest-model.specimen","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Specimen-model]]}
","A specimen is a substance, physical object, or collection of objects, that the laboratory considers a single discrete, uniquely identified unit that is the subject of one or more steps in the laboratory workflow. A specimen may include multiple physical pieces as long as they are considered a single unit within the laboratory workflow. A specimen results from one to many specimen collection procedures, and may be contained in multiple specimen containers. Specimen may have one or more processing activities.","A specimen is a substance, physical object, or collection of objects, that the laboratory considers a single discrete, uniquely identified unit that is the subject of one or more steps in the laboratory workflow. A specimen may include multiple physical pieces as long as they are considered a single unit within the laboratory workflow. A specimen results from one to many specimen collection procedures, and may be contained in multiple specimen containers. Specimen may have one or more processing activities.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.specimen",0,*,"",""
"shr-core-ReferralRequest-model.bodyLocation","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-BodyLocation-model {[]} {[]}
","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart. Body location is a flexible structure that allows the location to be determined by a single code, or a code plus laterality and/or orientation. The body location can also be specified in relation to one or more body landmarks. SNOMED CT is used in all cases.
+ Code only: The code should include (precoordinate) laterality and/orientation to the degree necessary to completely specify the body location.
+ Code plus laterality and/or orientation: The basic code augmented by codes specifying the body side and/or anatomical orientation.
+ Relation to landmark: The location relative to a landmark is specified by:
- Establishing the location and type of landmark using a body site code and optional laterality/orientation, and
- Specifying the direction and distance from the landmark to the body location.
Note that BodyLocation is a data type, a reusable structure, not a stand-alone entity. The concept is similar to how a postal address can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.bodyLocation",0,*,"",""
"shr-core-ReferralRequest-model.patientInstruction","","","",0,1,"","","","string {[]} {[]}
","Patient or consumer-oriented instructions.","Patient or consumer-oriented instructions.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.patientInstruction",0,1,"",""
"shr-core-ReferralRequest-model.commentOrDescription","","","",0,1,"","","","string {[]} {[]}
","A text note containing additional details, explanation, description, comment, or summarization.","A text note containing additional details, explanation, description, comment, or summarization.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.commentOrDescription",0,1,"",""
