"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Appointment-model","","","",0,*,"","","","","","A booking of a healthcare event among patient(s), practitioner(s), related person(s) and/or device(s) for a specific date/time.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model",0,*,"",""
"shr-core-Appointment-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.metadata",0,1,"",""
"shr-core-Appointment-model.reasonReference[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","The justification, as reference to a condition or observation.","The justification, as reference to a condition or observation.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.reasonReference[x]",0,*,"",""
"shr-core-Appointment-model.indication[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model]]}
","Conditions or situations where the procedure is recommended. In the Performed context, the actual indication should be reported.","Conditions or situations where the procedure is recommended. In the Performed context, the actual indication should be reported.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.indication[x]",0,*,"",""
"shr-core-Appointment-model.priorityRankUnsignedInt","","","",0,1,"","","","unsignedInt {[]} {[]}
","The priority of the procedure, as a number (1 being the highest priority)","The priority of the procedure, as a number (1 being the highest priority)","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.priorityRankUnsignedInt",0,1,"",""
"shr-core-Appointment-model.commentOrDescription","","","",0,1,"","","","string {[]} {[]}
","A text note containing additional details, explanation, description, comment, or summarization.","A text note containing additional details, explanation, description, comment, or summarization.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0947611
",,,,"shr-core-Appointment-model.commentOrDescription",0,1,"",""
"shr-core-Appointment-model.relatedInformation","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DomainResource-model]]}
","Additional information to support referral or transfer of care request","Additional information to support referral or transfer of care request","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.relatedInformation",0,*,"",""
"shr-core-Appointment-model.referralRequest","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferralRequest-model]]}
","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.referralRequest",0,*,"",""
"shr-core-Appointment-model.appointmentParticipation","","","",1,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-AppointmentParticipation-model {[]} {[]}
","Participants involved in appointment","Participants involved in appointment","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.appointmentParticipation",1,*,"",""
"shr-core-Appointment-model.timePeriod","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","A period of time defined by a start and end time, date, or year.","A period of time defined by a start and end time, date, or year.
If the start element is missing, the start of the period is not known. If the end element is missing, it means that the period is ongoing, or the start may be in the past, and the end date in the future, which means that period is expected/planned to end at the specified time. The end value includes any matching date/time. For example, the period 2011-05-23 to 2011-05-27 includes all the times from the start of the 23rd May through to the end of the 27th of May.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1948053
",,,,"shr-core-Appointment-model.timePeriod",0,1,"",""
"shr-core-Appointment-model.expectedPerformanceTime[x]","","","",0,*,"","","","dateTime {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Timing-model {[]} {[]}","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.expectedPerformanceTime[x]",0,*,"",""
"shr-core-Appointment-model.statementDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","The point in time when the statement was created.","The point in time when the statement was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"shr-core-Appointment-model.statementDateTime",0,1,"",""
